pl_trandeperr2,dec,pl_orbpererr1,st_rad,st_raderr1,pl_radeerr2,pl_orbper,pl_trandep,st_tefferr1,pl_insol,pl_rade,pl_insolerr1,pl_trandeperr1,pl_insolerr2,ra,st_teff,pl_eqt,pl_orbpererr2,st_raderr2,pl_radeerr1,st_tefferr2,disposition,source,pl_rad_to_star_rad_ratio,pl_signal_significance
-30.9,42.82497,9.65e-05,0.633,0.026,-0.07,20.83762895,439.0,85.0,7.24,1.42,1.25,30.9,-1.16,293.63696,4261.0,418.0,-9.65e-05,-0.029,0.06,-85.0,CONFIRMED,Kepler,2.243285939968404,14.207119741100325
-6.1,38.383461,1.642e-05,2.404,0.339,-17.95,8.8111022,401.1,125.0,904.92,63.66,371.14,6.1,-471.54,294.46088,6200.0,1399.0,-1.642e-05,-0.678,8.98,-113.0,FALSE POSITIVE,Kepler,26.480865224625624,65.75409836065575
-27.4,42.83992,5.786e-05,0.721,0.069,-0.33,23.58917143,1200.7,146.0,13.34,3.16,4.66,27.4,-3.85,297.46002,4919.0,487.0,-5.786e-05,-0.075,0.3,-146.0,CONFIRMED,Kepler,4.382801664355063,43.821167883211686
-2.7,40.28487,6.004e-06,1.302,0.058,-0.12,6.481633073,298.5,71.0,406.25,2.54,58.56,2.7,-52.79,290.39273,5945.0,1145.0,-6.004e-06,-0.058,0.11,-71.0,CONFIRMED,Kepler,1.9508448540706604,110.55555555555554
-21.2,43.363899,1.477e-05,0.888,0.049,-0.28,10.37168928,1254.9,76.0,63.68,3.2,11.53,21.2,-13.96,290.39322,5121.0,720.0,-1.477e-05,-0.077,0.18,-84.0,CONFIRMED,Kepler,3.6036036036036037,59.1933962264151
-24.5,43.363899,1.395e-05,0.888,0.049,-0.16,3.96996298,299.2,76.0,229.37,1.78,41.51,24.5,-50.3,290.39322,5121.0,992.0,-1.395e-05,-0.077,0.09,-84.0,CONFIRMED,Kepler,2.0045045045045047,12.212244897959183
-13.4,43.34639,1.408e-05,0.961,0.285,-0.33,4.40841331,549.4,189.0,398.0,2.66,359.33,13.4,-131.06,292.96555,6007.0,1139.0,-1.408e-05,-0.122,0.79,-189.0,CONFIRMED,Kepler,2.7679500520291365,41.0
-40.4,43.399632,2.419e-05,0.926,0.289,-0.48,7.9426176,1590.7,157.0,140.57,4.68,128.66,40.4,-41.84,299.00143,5811.0,878.0,-2.419e-05,-0.096,1.46,-192.0,FALSE POSITIVE,Kepler,5.0539956803455715,39.37376237623763
-69.4,42.935261,0.0009057,0.75,0.052,-0.2,226.8904775,3136.4,102.0,0.73,4.53,0.18,69.4,-0.11,294.90973,5067.0,236.0,-0.0009057,-0.033,0.32,-102.0,CONFIRMED,Kepler,6.04,45.19308357348703
-244.0,42.943062,1.059e-06,0.603,0.037,-1.47,1.956811408,24905.0,171.0,357.16,21.58,100.66,244.0,-82.23,295.83536,5209.0,1109.0,-1.059e-06,-0.041,1.33,-155.0,FALSE POSITIVE,Kepler,35.787728026534,102.06967213114754
-44.0,42.967869,1.9e-07,0.639,0.072,-0.79,2.688899233,37492.0,130.0,175.76,12.04,66.28,44.0,-39.88,296.68307,4820.0,929.0,-1.9e-07,-0.042,1.36,-144.0,CANDIDATE,Kepler,18.841940532081374,852.0909090909091
-18.8,43.039291,4.991e-06,0.779,0.093,-0.28,9.439459486,3036.1,152.0,52.32,4.16,21.42,18.8,-12.06,288.64252,5097.0,686.0,-4.991e-06,-0.053,0.5,-152.0,CONFIRMED,Kepler,5.34017971758665,161.4946808510638
-4.2,44.398041,9.452e-06,1.411,0.091,-0.17,11.523067458,507.3,84.0,174.81,3.13,35.33,4.2,-25.81,284.48245,5644.0,927.0,-9.452e-06,-0.073,0.2,-75.0,CONFIRMED,Kepler,2.2182849043231747,120.78571428571428
-28.2,43.039291,3.126e-05,0.779,0.093,-0.19,20.47748843,1382.4,152.0,18.65,2.92,7.63,28.2,-4.3,288.64252,5097.0,530.0,-3.126e-05,-0.053,0.35,-152.0,CONFIRMED,Kepler,3.748395378690629,49.02127659574469
-13.7,43.039291,4.359e-06,0.779,0.093,-0.12,3.336123113,516.3,152.0,209.79,1.74,85.87,13.7,-48.36,288.64252,5097.0,970.0,-4.359e-06,-0.053,0.2,-152.0,CONFIRMED,Kepler,2.233632862644416,37.68613138686131
