st_teff,st_raderr2,st_tefferr1,st_tefferr2,pl_insolerr2,pl_insol,pl_radeerr1,pl_trandep,pl_eqt,st_rad,pl_orbpererr2,pl_insolerr1,pl_rade,pl_radeerr2,pl_trandeperr1,st_raderr1,pl_orbpererr1,dec,ra,pl_orbper,pl_trandeperr2,disposition,source,pl_rad_to_star_rad_ratio,pl_signal_significance
5185.0,-0.086,85.0,-77.0,-57.65,253.15,0.11,363.3,1018.0,0.91,-1.094e-05,51.91,1.7,-0.16,13.9,0.057,1.094e-05,47.880989,292.37613,3.94105221,-13.9,CONFIRMED,Kepler,1.868131868131868,26.136690647482016
5185.0,-0.086,85.0,-77.0,-22.09,97.03,0.09,217.4,800.0,0.91,-6.787e-05,19.9,1.3,-0.12,16.8,0.057,6.787e-05,47.880989,292.37613,8.10904807,-16.8,CONFIRMED,Kepler,1.4285714285714286,12.94047619047619
5543.0,-0.064,79.0,-79.0,-0.24,1.84,1.68,24927.0,297.0,1.58,-0.0001369,0.26,41.5,-1.68,45.8,0.064,0.0001369,37.671558,292.27374,386.6030528,-45.8,FALSE POSITIVE,Kepler,26.265822784810126,544.2576419213974
4954.0,-0.065,79.0,-79.0,-3.8,18.64,0.12,857.2,530.0,0.828,-7.01e-05,2.78,2.95,-0.23,27.1,0.032,7.01e-05,47.92918,290.46512,21.67699193,-27.1,CONFIRMED,Kepler,3.56280193236715,31.6309963099631
5339.0,-0.069,175.0,-159.0,-42.14,166.95,0.52,934.7,917.0,0.847,-1.389e-05,102.06,2.78,-0.23,39.7,0.161,1.389e-05,47.946671,297.80826,4.99677968,-39.7,CONFIRMED,Kepler,3.282172373081464,23.544080604534006
5644.0,-0.069,152.0,-169.0,-63.32,247.87,0.58,750.8,1012.0,0.831,-6.141e-06,182.24,2.3,-0.19,14.1,0.207,6.141e-06,49.314091,294.26581,4.280963604,-14.1,CONFIRMED,Kepler,2.7677496991576414,53.248226950354606
5714.0,-0.08,155.0,-172.0,-292.26,1054.12,1.01,2211.7,1452.0,0.831,-4.7e-07,703.1,4.53,-0.44,18.3,0.186,4.7e-07,49.351009,295.66522,1.50635409,-18.3,FALSE POSITIVE,Kepler,5.451263537906137,120.85792349726775
5520.0,-0.049,100.0,-111.0,-0.06,0.35,2.13,18091.0,196.0,0.983,-0.001237,0.15,14.14,-0.71,33.5,0.148,0.001237,49.316479,296.69861,670.645531,-33.5,FALSE POSITIVE,Kepler,14.384537131230926,540.0298507462686
6144.0,-0.15,184.0,-220.0,-5.51,15.43,12.79,5123.3,505.0,1.091,-0.000156,14.85,39.87,-5.48,70.6,0.35,0.000156,49.479519,283.72592,61.2563628,-70.6,FALSE POSITIVE,Kepler,36.54445462878093,72.56798866855524
5481.0,-0.124,82.0,-74.0,-4.93,18.53,0.37,724.2,529.0,1.036,-0.0001602,6.72,2.82,-0.34,23.4,0.138,0.0001602,49.480869,291.72202,38.3775486,-23.4,CONFIRMED,Kepler,2.7220077220077217,30.948717948717952
5031.0,-0.072,75.0,-83.0,-1.9,8.76,0.15,2213.9,439.0,0.848,-9.345e-05,1.27,3.86,-0.33,45.5,0.033,9.345e-05,48.37579,286.99948,41.19725502,-45.5,CONFIRMED,Kepler,4.55188679245283,48.65714285714286
5031.0,-0.072,75.0,-83.0,-23.44,108.3,0.1,1036.9,823.0,0.848,-9.577e-06,15.73,2.65,-0.23,24.5,0.033,9.577e-06,48.37579,286.99948,6.252962249,-24.5,CONFIRMED,Kepler,3.125,42.32244897959184
5015.0,-0.082,164.0,-149.0,-8.24,29.31,0.34,1121.9,593.0,0.826,-4.854e-05,11.77,3.1,-0.31,39.4,0.091,4.854e-05,48.478588,297.02563,16.01308419,-39.4,CONFIRMED,Kepler,3.7530266343825667,28.474619289340104
5586.0,-0.077,152.0,-152.0,-4.18,15.55,0.76,1804.8,506.0,0.798,-5.801e-05,10.51,3.36,-0.33,25.4,0.181,5.801e-05,48.505859,285.71854,32.62876672,-25.4,CONFIRMED,Kepler,4.2105263157894735,71.05511811023622
5586.0,-0.077,152.0,-152.0,-1.06,3.92,0.48,652.0,359.0,0.798,-0.0007518,2.64,2.12,-0.21,36.2,0.181,0.0007518,48.505859,285.71854,91.7732862,-36.2,CONFIRMED,Kepler,2.656641604010025,18.011049723756905
5712.0,-0.13,77.0,-77.0,-93.21,349.4,1.96,9802.0,1103.0,1.082,-5.15e-07,146.52,12.21,-1.46,20.0,0.173,5.15e-07,48.727589,292.16705,4.959319244,-20.0,CONFIRMED,Kepler,11.284658040665434,490.1
5550.0,-0.105,182.0,-182.0,-166.35,527.81,1.64,860.4,1222.0,0.91,-5.634e-06,411.33,6.54,-0.75,20.9,0.228,5.634e-06,48.777321,297.92365,2.701287801,-20.9,FALSE POSITIVE,Kepler,7.186813186813187,41.16746411483254
6075.0,-0.1,189.0,-210.0,-117.4,389.62,0.65,460.0,1133.0,0.969,-1.777e-05,365.71,2.1,-0.22,17.5,0.3,1.777e-05,48.791592,298.45685,4.49876511,-17.5,CONFIRMED,Kepler,2.1671826625387,26.285714285714285
6074.0,-0.144,168.0,-210.0,-23.51,67.03,3.92,11766.0,730.0,1.063,-5.862e-06,62.46,12.42,-1.69,27.7,0.336,5.862e-06,48.933842,291.0939,19.651209505,-27.7,FALSE POSITIVE,Kepler,11.683913452492945,424.7653429602888
5779.0,-0.142,104.0,-115.0,-102.18,337.68,0.43,601.6,1093.0,1.087,-3.052e-06,137.29,2.94,-0.38,4.0,0.157,3.052e-06,46.276241,287.88733,5.412203927,-4.0,CONFIRMED,Kepler,2.704691812327507,150.4
5468.0,-0.183,180.0,-164.0,-6.64,16.72,1.57,2793.1,516.0,1.046,-7.557e-05,14.66,5.5,-0.96,22.6,0.297,7.557e-05,49.017342,295.55505,41.43958662,-22.6,CONFIRMED,Kepler,5.25812619502868,123.58849557522123
5592.0,-0.073,152.0,-152.0,-24.15,91.9,0.54,1041.6,790.0,0.787,-1.524e-05,59.06,2.52,-0.24,28.2,0.169,1.524e-05,49.277351,285.49924,8.35389523,-28.2,CONFIRMED,Kepler,3.2020330368487926,36.93617021276596
6174.0,-0.128,173.0,-239.0,-188.14,565.35,1.44,1487.3,1243.0,1.103,-3.133e-06,542.47,4.43,-0.51,13.3,0.358,3.133e-06,49.253979,291.93616,4.125543472,-13.3,CONFIRMED,Kepler,4.016319129646418,111.82706766917292
5532.0,-0.068,74.0,-83.0,-97.95,521.13,1.62,16814.0,1219.0,0.955,-1.65e-07,184.34,12.21,-0.87,11.0,0.127,1.65e-07,49.225288,297.01547,2.816504904,-11.0,CONFIRMED,Kepler,12.785340314136127,1528.5454545454545
5040.0,-0.058,136.0,-151.0,-2.06,8.11,0.9,8503.7,430.0,0.705,-6.154e-05,3.25,7.34,-0.6,44.3,0.086,6.154e-05,49.360722,284.17233,33.93373447,-44.3,FALSE POSITIVE,Kepler,10.411347517730498,191.95711060948085
5880.0,-0.098,157.0,-192.0,-123.32,408.99,0.54,426.7,1147.0,0.917,-8.982e-06,342.24,1.89,-0.2,13.8,0.262,8.982e-06,50.61824,291.62241,3.689920099,-13.8,CONFIRMED,Kepler,2.061068702290076,30.92028985507246
5714.0,-0.079,77.0,-77.0,-68.33,351.23,0.47,1010.9,1104.0,1.015,-6.106e-06,135.26,3.25,-0.25,15.2,0.148,6.106e-06,51.121738,295.81616,4.431238488,-15.2,CONFIRMED,Kepler,3.201970443349754,66.50657894736842
5714.0,-0.079,77.0,-77.0,-19.39,99.68,0.57,1023.5,806.0,1.015,-2.415e-05,38.38,3.95,-0.31,29.7,0.148,2.415e-05,51.121738,295.81616,11.37936986,-29.7,CONFIRMED,Kepler,3.891625615763547,34.46127946127946
5129.0,-0.055,154.0,-154.0,-3.21,13.49,0.41,1510.9,489.0,0.763,-5.724e-05,6.07,3.07,-0.22,36.3,0.103,5.724e-05,51.25032,289.39972,26.39432897,-36.3,CONFIRMED,Kepler,4.023591087811271,41.62258953168045
5854.0,-0.103,105.0,-117.0,-22.92,89.61,0.4,511.7,785.0,1.012,-1.585e-05,38.12,2.64,-0.27,6.3,0.154,1.585e-05,44.337551,300.86398,13.57078281,-6.3,CONFIRMED,Kepler,2.608695652173913,81.22222222222223
5779.0,-0.142,104.0,-115.0,-70.6,233.31,0.26,192.4,997.0,1.087,-1.406e-05,94.86,1.79,-0.23,4.4,0.157,1.406e-05,46.276241,287.88733,7.12594387,-4.4,CONFIRMED,Kepler,1.6467341306347747,43.72727272727273
6108.0,-0.1,183.0,-201.0,-61.76,206.78,4.73,24446.0,967.0,0.956,-7.02e-07,195.52,15.03,-1.58,37.8,0.301,7.02e-07,49.733742,288.98682,7.442652004,-37.8,FALSE POSITIVE,Kepler,15.721757322175732,646.7195767195768
4126.0,-0.029,82.0,-82.0,-1.35,8.35,0.09,1127.1,433.0,0.615,-5.219e-05,1.49,2.0,-0.1,42.0,0.027,5.219e-05,49.97575,286.73804,16.38489988,-42.0,CONFIRMED,Kepler,3.252032520325203,26.835714285714282
4126.0,-0.029,82.0,-82.0,-3.59,22.18,0.09,1306.1,553.0,0.615,-1.493e-05,3.97,2.16,-0.11,37.7,0.027,1.493e-05,49.97575,286.73804,7.8774163,-37.7,CONFIRMED,Kepler,3.51219512195122,34.644562334217504
4126.0,-0.029,82.0,-82.0,-0.47,2.88,0.09,1122.3,332.0,0.615,-0.0001809,0.51,1.99,-0.09,53.4,0.027,0.0001809,49.97575,286.73804,36.4454001,-53.4,CONFIRMED,Kepler,3.2357723577235773,21.01685393258427
5497.0,-0.07,166.0,-149.0,-65.21,258.34,1.22,5226.5,1023.0,0.809,-9.36e-07,162.58,6.02,-0.52,18.5,0.164,9.36e-07,50.054119,290.78574,3.728732147,-18.5,CONFIRMED,Kepler,7.441285537700864,282.5135135135135
5446.0,-0.095,179.0,-163.0,-3.57,11.29,1.12,6256.0,467.0,0.781,-0.0001139,5.67,7.51,-0.91,230.0,0.116,0.0001139,50.080231,294.31686,40.4195037,-230.0,CANDIDATE,Kepler,9.615877080665813,27.2
4149.0,-0.033,82.0,-91.0,-20.32,107.6,0.1,821.7,822.0,0.564,-2.67e-06,21.47,1.99,-0.12,25.6,0.03,2.67e-06,50.149818,285.17621,2.243380573,-25.6,CONFIRMED,Kepler,3.5283687943262416,32.09765625
5746.0,-0.16,173.0,-173.0,-45.01,113.94,2.92,14489.0,833.0,0.924,-2.515e-06,90.01,11.23,-1.95,22.4,0.241,2.515e-06,50.241001,289.23553,10.405998015,-22.4,FALSE POSITIVE,Kepler,12.153679653679653,646.8303571428572
5005.0,-0.028,79.0,-79.0,-40.17,311.16,0.17,971.2,1070.0,0.765,-1.951e-06,69.46,2.34,-0.09,13.7,0.055,1.951e-06,50.23035,293.83331,2.337437946,-13.7,CONFIRMED,Kepler,3.0588235294117645,70.89051094890512
5005.0,-0.028,79.0,-79.0,-8.86,68.63,1.4,556.4,734.0,0.765,-1.617e-05,15.32,19.45,-0.71,44.1,0.055,1.617e-05,50.23035,293.83331,7.2406612,-44.1,CANDIDATE,Kepler,25.424836601307188,12.616780045351472
5779.0,-0.142,104.0,-115.0,-186.88,617.61,0.08,23.2,1272.0,1.087,-4.729e-05,251.11,0.55,-0.07,3.4,0.157,4.729e-05,46.276241,287.88733,3.43591631,-3.4,CANDIDATE,Kepler,0.5059797608095676,6.823529411764706
3688.0,-0.051,73.0,-91.0,-1.63,5.82,0.21,2804.5,396.0,0.473,-1.407e-05,1.49,2.65,-0.29,46.3,0.037,1.407e-05,50.28722,296.22195,11.59822233,-46.3,CONFIRMED,Kepler,5.602536997885835,60.57235421166307
5992.0,-0.151,162.0,-180.0,-91.63,251.38,1.5,2793.3,1015.0,0.989,-3.726e-06,209.1,5.31,-0.81,14.9,0.28,3.726e-06,50.321609,290.09805,6.575315881,-14.9,CONFIRMED,Kepler,5.369059656218402,187.46979865771812
5485.0,-0.067,164.0,-180.0,-28.97,113.64,1.05,3001.0,833.0,0.867,-4.677e-06,75.31,4.86,-0.37,11.5,0.187,4.677e-06,50.49456,295.45529,7.275040844,-11.5,CONFIRMED,Kepler,5.605536332179931,260.95652173913044
4077.0,-0.034,81.0,-81.0,-1.06,5.66,0.1,1219.8,393.0,0.56,-4.145e-05,1.13,1.93,-0.12,35.3,0.03,4.145e-05,50.53191,293.97336,19.27153892,-35.3,CONFIRMED,Kepler,3.446428571428571,34.555240793201136
4077.0,-0.034,81.0,-81.0,-2.5,13.43,0.1,1053.3,488.0,0.56,-1.49e-05,2.69,1.91,-0.12,39.2,0.03,1.49e-05,50.53191,293.97336,10.06524317,-39.2,CONFIRMED,Kepler,3.410714285714285,26.86989795918367
5557.0,-0.065,166.0,-166.0,-12.97,49.68,0.54,916.6,677.0,0.75,-3.932e-05,31.16,2.66,-0.23,29.1,0.152,3.932e-05,50.56778,296.02133,12.3935651,-29.1,CONFIRMED,Kepler,3.546666666666667,31.49828178694158
5854.0,-0.103,105.0,-117.0,-4.8,18.77,0.43,615.2,531.0,1.012,-9.613e-05,7.98,2.87,-0.3,7.7,0.154,9.613e-05,44.337551,300.86398,43.84439721,-7.7,CONFIRMED,Kepler,2.8359683794466406,79.8961038961039
5295.0,-0.071,175.0,-159.0,-70.67,268.67,3.54,725.3,1032.0,0.811,-9.953e-06,145.91,21.55,-1.89,21.3,0.133,9.953e-06,38.27029,292.31595,3.341913228,-21.3,FALSE POSITIVE,Kepler,26.572133168927248,34.05164319248826
