pl_insolerr1,pl_insol,st_tefferr2,dec,pl_radeerr1,pl_orbper,st_raderr2,pl_trandeperr2,st_raderr1,pl_trandep,st_tefferr1,st_teff,pl_eqt,ra,pl_radeerr2,pl_orbpererr1,pl_trandeperr1,st_rad,pl_orbpererr2,pl_rade,pl_insolerr2,disposition,source
236.62,193.23,-128.0,41.730679,2.17,27.6760342,-1.107,-22.4,1.353,266.8,128.0,5123.0,951.0,293.64758,-1.77,0.0005341,22.4,3.224,-0.0005341,5.15,-117.93,FALSE POSITIVE,Kepler
71.72,172.38,-75.0,45.634331,0.3,8.74192361,-0.178,-17.1,0.178,295.7,83.0,5596.0,924.0,296.19614,-0.3,8.714e-05,17.1,1.145,-8.714e-05,1.94,-55.89,CONFIRMED,Kepler
42.37,34.24,-202.0,45.634331,0.64,26.936878,-0.109,-33.5,0.407,246.9,181.0,5878.0,617.0,296.19614,-0.17,0.001109,33.5,0.998,-0.001109,1.57,-10.62,FALSE POSITIVE,Kepler
0.0,0.0,0.0,38.735741,0.0,53.34418038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.6088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE POSITIVE,Kepler
40.49,61.78,-196.0,40.64431,0.17,12.4281308,-0.05,-10.6,0.15,131.4,196.0,5940.0,715.0,297.72504,-0.06,0.000379,10.6,0.729,-0.000379,0.85,-14.92,FALSE POSITIVE,Kepler
61.47,137.45,-112.0,44.624531,0.21,9.10969334,-0.106,-2.7,0.173,126.4,100.0,5611.0,873.0,288.97165,-0.13,2.7e-05,2.7,1.073,-2.7e-05,1.32,-34.46,CONFIRMED,Kepler
2218.42,1908.55,-183.0,40.64431,0.28,0.96283264,-0.043,-7.2,0.274,96.3,206.0,5955.0,1686.0,297.72504,-0.04,7.465e-06,7.2,0.733,-7.465e-06,0.74,-415.85,FALSE POSITIVE,Kepler
18.22,49.76,-81.0,41.33556,0.53,73.7502765,-0.859,-7.0,0.343,233.1,81.0,6056.0,677.0,296.35461,-1.31,0.0005225,7.0,2.481,-0.0005225,3.78,-29.61,CONFIRMED,Kepler
706.15,1927.62,-81.0,41.33556,0.21,4.7482669,-0.859,-3.4,0.343,35.6,81.0,6056.0,1690.0,296.35461,-0.55,6.006e-05,3.4,2.481,-6.006e-05,1.57,-1146.93,CANDIDATE,Kepler
13.87,17.94,-343.0,40.212311,26.32,210.30644361,-0.525,-49.4,0.525,46455.0,211.0,7591.0,525.0,299.21945,-26.33,3.562e-05,49.4,2.017,-3.562e-05,101.13,-9.78,FALSE POSITIVE,Kepler
113.8,130.83,-190.0,46.728699,14.89,8.268081087,-0.091,-73.0,0.273,71479.0,156.0,5749.0,863.0,292.53125,-4.97,6.34e-07,73.0,0.922,-6.34e-07,50.31,-37.92,FALSE POSITIVE,Kepler
368.88,470.37,-195.0,37.442619,11.91,3.564614021,-0.124,-153.0,0.231,94342.0,177.0,5891.0,1187.0,292.46249,-6.39,4.51e-07,153.0,0.892,-4.51e-07,46.0,-165.61,FALSE POSITIVE,Kepler
1.58,2.33,-164.0,41.139351,0.56,533.47707,-0.605,-16.3,0.373,210.6,201.0,6077.0,315.0,292.82809,-0.89,0.03264,16.3,1.759,-0.03264,2.6,-1.43,FALSE POSITIVE,Kepler
260.76,300.43,-155.0,42.970619,13.62,5.877122413,-0.231,-66.2,0.309,15647.0,155.0,5778.0,1061.0,295.68607,-10.17,1.779e-06,66.2,1.043,-1.779e-06,45.95,-137.11,FALSE POSITIVE,Kepler
32116.38,73013.77,-72.0,50.30526,79.62,1.036592635,-2.256,-320.0,1.504,124500.0,58.0,4884.0,4194.0,294.3616,-119.4,1.9e-07,320.0,8.747,-1.9e-07,463.05,-35125.08,FALSE POSITIVE,Kepler
50.39,75.32,-149.0,39.361771,0.91,10.10404351,-0.08,-54.8,0.187,1322.4,149.0,5530.0,752.0,291.88907,-0.39,1.043e-05,54.8,0.831,-1.043e-05,4.05,-20.17,CANDIDATE,Kepler
1.42,2.98,-142.0,43.6679,3.17,91.4999978,-0.069,-131.0,0.112,65496.0,158.0,5263.0,335.0,279.85608,-1.95,5.537e-05,131.0,0.774,-5.537e-05,21.86,-0.76,FALSE POSITIVE,Kepler
8.25,10.04,-210.0,42.023361,0.64,65.9407869,-0.114,-34.5,0.266,580.4,168.0,5982.0,454.0,295.57608,-0.28,0.0008703,34.5,0.96,-0.0008703,2.33,-3.28,CONFIRMED,Kepler
1.36,1.42,-204.0,41.44548,0.66,406.45737,-0.153,-25.9,0.384,284.2,149.0,6217.0,278.0,288.62289,-0.26,0.01564,25.9,1.141,-0.01564,1.96,-0.49,FALSE POSITIVE,Kepler
13.98,20.39,-159.0,38.28471,9.95,30.47639859,-0.061,-684.0,0.182,130570.0,159.0,5913.0,542.0,286.00461,-3.33,5.97e-05,684.0,0.787,-5.97e-05,43.01,-4.83,FALSE POSITIVE,Kepler
64.34,73.37,-179.0,49.706661,0.51,14.53260546,-0.093,-13.3,0.279,328.9,161.0,6003.0,746.0,285.71191,-0.17,4.381e-05,13.3,0.932,-4.381e-05,1.69,-20.69,CONFIRMED,Kepler
4.32,4.78,-213.0,46.714611,0.64,153.348739,-0.172,-35.1,0.32,388.0,192.0,6127.0,377.0,294.16882,-0.34,0.004914,35.1,1.08,-0.004914,2.14,-1.84,CONFIRMED,Kepler
11.93,28.27,-157.0,43.386589,0.11,13.9248005,-0.042,-20.2,0.085,195.2,141.0,5271.0,588.0,296.38269,-0.06,0.0001801,20.2,0.648,-0.0001801,0.9,-6.36,CANDIDATE,Kepler
41.04,49.23,-179.0,45.70874,0.59,19.6001405,-0.088,-15.0,0.265,282.0,161.0,6003.0,676.0,285.22256,-0.2,0.0002376,15.0,0.932,-0.0002376,2.08,-13.46,CANDIDATE,Kepler
6.11,6.67,-316.0,42.516079,1.71,361.526458,-0.471,-46.5,0.576,525.1,230.0,7196.0,410.0,295.23029,-1.4,0.008157,46.5,1.923,-0.008157,5.7,-3.49,FALSE POSITIVE,Kepler
11.75,23.9,-63.0,44.916779,0.42,48.0506878,-0.483,-21.4,0.26,274.5,95.0,5332.0,564.0,284.77811,-0.78,0.0009968,21.4,1.453,-0.0009968,2.36,-13.74,CONFIRMED,Kepler
14.28,15.46,-158.0,42.60891,10.79,34.08429351,-0.127,-157.0,0.276,3746.0,174.0,5252.0,506.0,282.34613,-4.96,5.823e-05,157.0,0.922,-5.823e-05,36.05,-5.29,CANDIDATE,Kepler
540.49,476.13,-137.0,43.615978,27.79,9.44942628,-1.827,-17.2,0.984,1211.9,168.0,5092.0,1192.0,286.28629,-51.59,2.084e-05,17.2,2.664,-2.084e-05,75.22,-433.99,FALSE POSITIVE,Kepler
3051.69,3648.49,-189.0,40.896259,13.34,0.933489066,-0.246,-47.3,0.301,14259.0,172.0,5758.0,1979.0,296.33084,-10.89,2.51e-07,47.3,1.084,-2.51e-07,48.01,-1740.55,FALSE POSITIVE,Kepler
24367.12,24558.81,-430.0,41.965271,1.22,1.908525084,-0.809,-9.3,0.809,218.9,286.0,9174.0,3191.0,289.73917,-1.22,8.062e-06,9.3,2.471,-8.062e-06,3.74,-15389.65,FALSE POSITIVE,Kepler
998.62,2064.49,-166.0,42.14996,0.12,0.798467681,-0.076,-16.8,0.104,120.7,183.0,5575.0,1718.0,288.00983,-0.08,2.247e-06,16.8,0.733,-2.247e-06,0.82,-594.81,FALSE POSITIVE,Kepler
4271.74,4487.7,-166.0,40.731586,20.17,0.867721348,-0.384,-220.0,0.384,97653.0,200.0,5510.0,2089.0,298.49457,-20.16,3.57e-07,220.0,1.276,-3.57e-07,67.0,-2547.21,FALSE POSITIVE,Kepler
1.94,2.41,-179.0,40.404911,1.38,161.252567,-0.059,-36.2,0.222,2911.5,161.0,5985.0,318.0,298.93143,-0.36,0.001333,36.2,0.811,-0.001333,5.04,-0.58,FALSE POSITIVE,Kepler
24.9,91.01,-134.0,38.866421,0.13,3.90863457,-0.063,-27.7,0.046,867.2,121.0,4518.0,787.0,285.11969,-0.18,7.248e-06,27.7,0.653,-7.248e-06,1.86,-25.15,CONFIRMED,Kepler
9.99,11.0,-261.0,42.19635,8.88,77.086191,-0.134,-86.9,0.313,942.8,196.0,6228.0,464.0,293.29364,-3.8,0.001352,86.9,1.049,-0.001352,29.77,-3.95,CONFIRMED,Kepler
1901.35,2106.67,-222.0,40.69809,7.39,1.673662758,-0.111,-11.4,0.332,316.4,155.0,6444.0,1729.0,298.14502,-2.47,3.796e-06,11.4,1.053,-3.796e-06,23.42,-641.32,FALSE POSITIVE,Kepler
0.0,241.6,0.0,50.630558,0.0,5.93717724,0.0,-504.0,0.0,25450.0,0.0,5780.0,1005.0,289.17267,0.0,3.607e-05,504.0,1.0,-3.607e-05,594.32,0.0,FALSE POSITIVE,Kepler
276.36,354.22,-169.0,41.504978,0.32,3.89043062,-0.124,-16.1,0.231,195.4,169.0,5646.0,1106.0,296.71689,-0.17,5.662e-05,16.1,0.896,-5.662e-05,1.24,-121.36,FALSE POSITIVE,Kepler
38.99,46.95,-180.0,39.067108,0.76,16.8282542,-0.08,-12.6,0.279,655.3,141.0,5575.0,668.0,291.92963,-0.22,0.0002871,12.6,0.972,-0.0002871,2.66,-12.28,FALSE POSITIVE,Kepler
1580.52,2007.56,-206.0,48.85371,15.89,2.489549075,-0.417,-22.7,0.375,2829.7,169.0,6184.0,1708.0,296.4747,-17.67,1.045e-06,22.7,1.406,-1.045e-06,59.57,-1140.13,FALSE POSITIVE,Kepler
1416.69,3071.95,-126.0,46.726711,0.19,1.644221032,-0.187,-2.2,0.228,47.8,113.0,6297.0,1897.0,292.67807,-0.16,5.949e-06,2.2,1.369,-5.949e-06,1.18,-959.78,CONFIRMED,Kepler
1160.4,1604.34,-156.0,44.65501,20.08,4.469731089,-1.283,-13.5,0.55,3159.6,173.0,5758.0,1614.0,300.78256,-46.84,2.324e-06,13.5,2.318,-2.324e-06,84.63,-1317.77,FALSE POSITIVE,Kepler
1099.33,1285.11,-200.0,39.409729,6.42,1.731803197,-0.124,-252.0,0.289,44612.0,180.0,5761.0,1526.0,289.25427,-2.76,1.522e-06,252.0,1.029,-1.522e-06,22.87,-422.08,FALSE POSITIVE,Kepler
8341.11,20225.84,-86.0,37.514511,20.78,2.64830047,-2.831,-270.0,1.524,12668.0,50.0,4839.0,3042.0,293.09363,-38.61,2.682e-06,270.0,9.278,-2.682e-06,126.54,-11135.88,FALSE POSITIVE,Kepler
76.7,146.92,-140.0,40.54837,0.22,17.2653659,-0.178,-5.5,0.267,67.9,115.0,6388.0,888.0,297.25504,-0.15,0.0001965,5.5,1.402,-0.0001965,1.16,-44.43,CONFIRMED,Kepler
0.0,491.1,0.0,40.012619,0.0,3.486318703,0.0,-395.0,0.0,60135.0,0.0,5780.0,1201.0,295.05191,0.0,7.42e-06,395.0,1.0,-7.42e-06,54.53,0.0,FALSE POSITIVE,Kepler
118.54,348.32,-172.0,49.046558,1.93,1.705780649,-0.04,-624.0,0.044,15498.0,189.0,4970.0,1101.0,295.06152,-1.75,3.664e-06,624.0,0.591,-3.664e-06,25.95,-85.34,FALSE POSITIVE,Kepler
0.0,178.53,0.0,37.763203,0.0,7.45306683,0.0,-636.0,0.0,46552.0,0.0,5780.0,932.0,290.25198,0.0,3.924e-05,636.0,1.0,-3.924e-05,1044.28,0.0,FALSE POSITIVE,Kepler
0.0,618.11,0.0,50.546799,0.0,2.929299629,0.0,-250.0,0.0,83918.0,0.0,5780.0,1272.0,292.07089,0.0,2.999e-06,250.0,1.0,-2.999e-06,51.67,0.0,FALSE POSITIVE,Kepler
38.13,86.57,-182.0,46.589581,4.09,5.50811352,-0.034,-467.0,0.075,40380.0,182.0,5188.0,778.0,294.47,-1.85,3.401e-05,467.0,0.624,-3.401e-05,34.03,-19.48,FALSE POSITIVE,Kepler
27646.81,29827.37,-325.0,41.23407,47.62,0.569115097,-0.378,-2542.0,0.52,585600.0,225.0,7174.0,3357.0,290.64828,-34.62,1.71e-07,2542.0,1.705,-1.71e-07,156.15,-14817.7,FALSE POSITIVE,Kepler
236.2,395.83,-146.0,45.11092,4.95,2.529073751,-0.068,-25.7,0.147,1572.9,162.0,5465.0,1137.0,291.13748,-2.29,2.154e-06,25.7,0.766,-2.154e-06,25.8,-100.9,FALSE POSITIVE,Kepler
0.53,1.59,-83.0,39.983822,0.72,202.1168173,-0.053,-58.2,0.115,2701.2,74.0,5536.0,286.0,286.77145,-0.34,0.0005442,58.2,0.917,-0.0005442,5.8,-0.26,CANDIDATE,Kepler
2995.06,3196.67,-232.0,41.97068,15.65,0.916326699,-0.1,-461.0,0.3,96384.0,189.0,6046.0,1917.0,290.09695,-5.22,3.81e-07,461.0,0.972,-3.81e-07,50.7,-996.66,FALSE POSITIVE,Kepler
9.14,23.4,-101.0,49.89653,0.32,33.0405509,-0.095,-22.0,0.13,577.4,113.0,5688.0,561.0,289.78052,-0.23,0.000122,22.0,0.971,-0.000122,2.36,-5.68,CONFIRMED,Kepler
150.79,443.02,-163.0,45.501282,2.21,1.306723495,-0.059,-50.7,0.053,12457.0,163.0,4651.0,1170.0,294.32037,-2.46,1.043e-06,50.7,0.657,-1.043e-06,27.42,-124.81,FALSE POSITIVE,Kepler
0.0,3497.4,0.0,38.604702,0.0,0.7967202,0.0,-260.0,0.0,167720.0,0.0,5780.0,1964.0,294.35196,0.0,2.99e-07,260.0,1.0,-2.99e-07,56.89,0.0,FALSE POSITIVE,Kepler
1.5,1.67,-192.0,50.259689,9.08,359.102042,-0.117,-50.3,0.35,1102.9,153.0,6355.0,290.0,290.15457,-3.04,0.008157,50.3,1.108,-0.008157,28.76,-0.49,FALSE POSITIVE,Kepler
4.51,9.68,-85.0,46.060822,1.19,160.130899,-0.386,-41.6,0.316,1183.0,79.0,6092.0,450.0,297.41443,-1.47,0.00172,41.6,1.759,-0.00172,6.67,-4.1,CONFIRMED,Kepler
596.25,650.06,-147.0,47.806431,0.45,2.69634575,-0.187,-6.2,0.32,185.2,164.0,5418.0,1287.0,283.78958,-0.26,1.099e-05,6.2,1.051,-1.099e-05,1.46,-256.52,FALSE POSITIVE,Kepler
646.83,789.69,-228.0,40.39193,8.78,2.553924603,-0.113,-19.8,0.265,1680.1,186.0,5993.0,1352.0,298.45837,-3.74,7.809e-06,19.8,0.986,-7.809e-06,32.67,-259.6,FALSE POSITIVE,Kepler
82.28,96.0,-183.0,47.565632,12.82,8.487871809,-0.063,-313.0,0.237,118810.0,183.0,5553.0,798.0,280.8858,-3.41,3.926e-06,313.0,0.855,-3.926e-06,46.24,-23.96,FALSE POSITIVE,Kepler
38.31,82.55,-182.0,46.58923,4.99,5.50817321,-0.047,-1041.0,0.082,226850.0,182.0,5051.0,768.0,294.47156,-2.86,3.431e-05,1041.0,0.644,-3.431e-05,39.18,-21.3,FALSE POSITIVE,Kepler
0.0,230.71,0.0,49.387688,0.0,6.142812722,0.0,-328.0,0.0,96593.0,0.0,5780.0,994.0,292.02893,0.0,5.787e-06,328.0,1.0,-5.787e-06,31.9,0.0,FALSE POSITIVE,Kepler
1.94,2.24,-197.0,37.794048,11.71,175.06586091,-0.059,-161.0,0.236,45134.0,179.0,6021.0,312.0,292.16528,-2.93,6.792e-05,161.0,0.819,-6.792e-05,40.63,-0.55,FALSE POSITIVE,Kepler
16.77,27.45,-187.0,46.225609,9.21,20.8392148,-0.105,-1232.0,0.144,177510.0,206.0,5378.0,584.0,294.96225,-6.71,0.0001302,1232.0,0.812,-0.0001302,51.9,-9.39,FALSE POSITIVE,Kepler
0.0,128.99,0.0,40.967922,0.0,9.50158045,0.0,-2047.0,0.0,443400.0,0.0,5780.0,860.0,299.68124,0.0,1.019e-05,2047.0,1.0,-1.019e-05,73.07,0.0,FALSE POSITIVE,Kepler
8.37,16.32,-172.0,46.589581,0.51,19.226055,-0.035,-384.0,0.09,3266.0,189.0,5193.0,513.0,294.47,-0.2,0.00167,384.0,0.621,-0.00167,3.52,-3.62,FALSE POSITIVE,Kepler
400.07,629.98,-189.0,39.379581,6.5,2.050435466,-0.103,-20.7,0.154,7765.3,207.0,5440.0,1278.0,287.16849,-4.35,1.298e-06,20.7,0.825,-1.298e-06,34.84,-211.12,FALSE POSITIVE,Kepler
1.36,2.1,-73.0,49.503979,3.01,10.72725536,-0.056,-432.0,0.063,56197.0,66.0,3324.0,307.0,285.00772,-2.69,4.888e-05,432.0,0.268,-4.888e-05,12.85,-0.9,CANDIDATE,Kepler
1143.25,1453.29,-195.0,43.30434,9.92,1.507101452,-0.136,-70.5,0.221,15847.0,195.0,5884.0,1573.0,297.26233,-6.11,1.085e-06,70.5,0.876,-1.085e-06,39.32,-547.01,FALSE POSITIVE,Kepler
3727.26,3957.46,-241.0,45.306702,19.68,1.274841686,-0.264,-187.0,0.396,50253.0,197.0,6211.0,2025.0,300.72165,-13.12,8.46e-07,187.0,1.281,-8.46e-07,63.68,-1828.29,FALSE POSITIVE,Kepler
178.9,440.08,-74.0,38.23304,0.27,4.02582434,-0.186,-11.8,0.169,265.3,82.0,5509.0,1169.0,294.15271,-0.3,1.271e-05,11.8,1.116,-1.271e-05,1.79,-150.56,CONFIRMED,Kepler
1446.27,1822.75,-169.0,40.650009,34.68,2.845746618,-0.841,-1254.0,0.453,557740.0,186.0,5641.0,1667.0,296.67532,-64.4,2.054e-06,1254.0,1.776,-2.054e-06,135.99,-1375.42,FALSE POSITIVE,Kepler
525.0,583.42,-186.0,44.134739,8.35,2.30120705,-0.078,-19.4,0.248,1688.1,186.0,5641.0,1254.0,294.22784,-2.63,1.186e-05,19.4,0.85,-1.186e-05,28.64,-162.57,FALSE POSITIVE,Kepler
1.65,1.28,-216.0,40.26078,15.93,337.377514,-0.101,-143.0,0.427,6110.0,171.0,6029.0,271.0,295.73285,-3.76,0.003779,143.0,0.998,-0.003779,37.23,-0.38,FALSE POSITIVE,Kepler
0.0,0.0,0.0,40.26078,0.0,389.28075044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.73285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FALSE POSITIVE,Kepler
96.43,111.01,-171.0,46.939129,8.25,8.58965725,-0.07,-12.5,0.264,1161.5,154.0,5697.0,828.0,298.82263,-2.18,2.185e-05,12.5,0.892,-2.185e-05,27.86,-27.56,FALSE POSITIVE,Kepler
43373.68,42618.46,-46.0,41.934799,4.64,2.508116,-1.106,-11.1,3.319,188.1,77.0,5096.0,3662.0,292.95416,-1.55,1.454e-05,11.1,8.769,-1.454e-05,12.28,-11231.94,CANDIDATE,Kepler
221.93,210.83,-237.0,40.611252,8.01,8.56751264,-0.122,-23.2,0.366,347.9,194.0,6212.0,972.0,299.52237,-2.67,7.413e-05,23.2,1.054,-7.413e-05,23.05,-69.74,FALSE POSITIVE,Kepler
102.98,352.77,-142.0,44.591831,1.18,1.061934313,-0.059,-10.4,0.044,607.0,116.0,4304.0,1104.0,288.90912,-1.58,1.511e-06,10.4,0.566,-1.511e-06,15.14,-105.26,FALSE POSITIVE,Kepler
1060.55,1140.2,-253.0,46.793892,8.29,2.406574511,-0.125,-13.7,0.35,738.0,169.0,6167.0,1481.0,292.69342,-2.96,3.809e-06,13.7,1.107,-3.809e-06,26.22,-381.38,FALSE POSITIVE,Kepler
78.88,136.32,-194.0,42.65332,1.15,28.64338839,-0.527,-37.3,0.351,624.3,155.0,6507.0,871.0,296.9978,-1.74,6.214e-05,37.3,1.767,-6.214e-05,5.82,-76.84,FALSE POSITIVE,Kepler
54.23,204.8,-122.0,42.28735,2.37,96.231257,-1.8,-141.0,0.771,938.0,98.0,4895.0,965.0,296.44431,-5.53,0.001159,141.0,9.529,-0.001159,29.26,-83.0,FALSE POSITIVE,Kepler
50.09,51.9,-246.0,38.469501,20.79,30.5528701,-0.136,-148.0,0.381,63521.0,179.0,6441.0,685.0,290.96396,-7.42,1.828e-05,148.0,1.165,-1.828e-05,63.57,-17.25,FALSE POSITIVE,Kepler
35.19,76.31,-126.0,46.726711,0.45,26.2347447,-0.187,-7.8,0.228,196.5,113.0,6297.0,754.0,292.67807,-0.38,0.000123,7.8,1.369,-0.000123,2.76,-23.84,CONFIRMED,Kepler
3.48,3.39,-186.0,39.285328,3.04,160.88451966,-0.232,-17.6,0.349,7590.4,186.0,5650.0,346.0,289.7916,-2.02,8.794e-05,17.6,1.044,-8.794e-05,9.09,-1.6,CONFIRMED,Kepler
0.0,402.77,0.0,40.167068,0.0,4.04506346,0.0,-950.0,0.0,360180.0,0.0,5780.0,1143.0,294.58798,0.0,1.549e-06,950.0,1.0,-1.549e-06,67.94,0.0,FALSE POSITIVE,Kepler
1.48,3.62,-115.0,45.309669,1.66,141.2415405,-0.107,-39.4,0.147,12990.0,104.0,5705.0,352.0,293.28156,-1.21,9.485e-05,39.4,1.017,-9.485e-05,11.49,-0.95,CONFIRMED,Kepler
1.6,3.29,-136.0,37.860142,2.03,217.83184293,-0.085,-7.8,0.212,9148.7,99.0,6259.0,343.0,292.62747,-0.81,8.507e-05,7.8,1.167,-8.507e-05,11.17,-0.7,CONFIRMED,Kepler
50.63,58.53,-169.0,46.899261,0.33,16.0988294,-0.161,-16.3,0.262,160.2,169.0,5657.0,705.0,299.526,-0.2,0.0002694,16.3,0.911,-0.0002694,1.14,-23.39,CANDIDATE,Kepler
1906.69,2319.46,-197.0,41.62323,1.54,1.433262145,-0.238,-15.3,0.291,1849.5,179.0,5977.0,1769.0,299.24219,-1.27,1.625e-06,15.3,1.068,-1.625e-06,5.67,-1094.34,FALSE POSITIVE,Kepler
264.25,836.18,-170.0,44.711441,3.35,0.782046543,-0.046,-1180.0,0.046,340460.0,151.0,4768.0,1372.0,290.26721,-3.35,1.56e-07,1180.0,0.591,-1.56e-07,43.07,-221.22,FALSE POSITIVE,Kepler
0.0,257.36,0.0,45.230106,0.0,5.663604992,0.0,-1286.0,0.0,163380.0,0.0,5780.0,1021.0,284.79047,0.0,2.838e-06,1286.0,1.0,-2.838e-06,54.55,0.0,FALSE POSITIVE,Kepler
6.22,19.14,-173.0,46.797779,2.88,18.076610347,-0.074,-210.0,0.056,65280.0,173.0,4848.0,533.0,294.12576,-3.79,9.258e-06,210.0,0.764,-9.258e-06,39.16,-5.64,FALSE POSITIVE,Kepler
670.48,757.69,-243.0,47.407627,4.1,6.47173281,-0.504,-80.0,0.504,6472.7,177.0,6318.0,1338.0,296.69699,-4.09,2.588e-05,80.0,1.685,-2.588e-05,13.68,-439.52,FALSE POSITIVE,Kepler
979.99,1491.65,-202.0,47.937832,5.71,1.031100362,-0.067,-960.0,0.157,129160.0,181.0,5666.0,1584.0,296.14957,-2.44,1.076e-06,960.0,0.752,-1.076e-06,27.35,-421.24,FALSE POSITIVE,Kepler
0.0,5169.99,0.0,40.828976,0.0,0.597933142,0.0,-234.0,0.0,284380.0,0.0,5780.0,2161.0,299.07919,0.0,6.3e-08,234.0,1.0,-6.3e-08,63.46,0.0,FALSE POSITIVE,Kepler
194.93,219.72,-209.0,43.203178,2.36,5.36652724,-0.084,-69.7,0.251,3122.5,174.0,5858.0,982.0,295.56024,-0.79,3.367e-05,69.7,0.849,-3.367e-05,7.97,-65.46,FALSE POSITIVE,Kepler
164.83,506.98,-131.0,38.924469,1.51,1.540392098,-0.069,-14.3,0.062,1022.0,146.0,4911.0,1210.0,286.93588,-1.68,2.054e-06,14.3,0.724,-2.054e-06,17.63,-134.57,FALSE POSITIVE,Kepler
1.11,5.5,-100.0,37.83498,0.14,47.1484324,-0.039,-23.9,0.039,1113.8,100.0,4975.0,391.0,292.69028,-0.13,8.172e-05,23.9,0.734,-8.172e-05,2.58,-0.95,CONFIRMED,Kepler
336.84,828.59,-74.0,38.23304,0.22,2.50475282,-0.186,-10.6,0.169,181.1,82.0,5509.0,1369.0,294.15271,-0.25,1.144e-05,10.6,1.116,-1.144e-05,1.48,-283.48,CONFIRMED,Kepler
10.99,24.33,-104.0,47.448078,0.35,59.3627946,-0.321,-5.2,0.233,233.6,115.0,5786.0,566.0,299.58337,-0.49,0.0003499,5.2,1.471,-0.0003499,2.23,-10.5,CONFIRMED,Kepler
2.03,4.27,-82.0,41.21146,0.87,247.891041,-0.281,-31.2,0.281,956.6,82.0,6121.0,367.0,293.8183,-0.87,0.002547,31.2,1.536,-0.002547,4.74,-1.57,CANDIDATE,Kepler
273.92,457.33,-185.0,47.655548,3.93,2.199076661,-0.066,-16.3,0.143,777.4,185.0,5310.0,1179.0,298.78415,-1.81,7.303e-06,16.3,0.791,-7.303e-06,21.72,-123.94,FALSE POSITIVE,Kepler
1266.27,1356.76,-199.0,46.573978,0.41,1.79110997,-0.106,-8.0,0.318,167.5,163.0,6040.0,1549.0,287.40295,-0.14,5.478e-06,8.0,0.999,-5.478e-06,1.29,-408.61,CONFIRMED,Kepler
159.32,183.58,-199.0,39.16156,0.49,7.77241144,-0.095,-16.5,0.286,286.9,181.0,6014.0,938.0,292.02042,-0.16,5.886e-05,16.5,0.993,-5.886e-05,1.69,-52.36,FALSE POSITIVE,Kepler
14.19,78.2,-68.0,42.343361,0.02,1.99469354,-0.034,-10.2,0.025,75.1,68.0,3799.0,758.0,291.85205,-0.03,4.991e-05,10.2,0.51,-4.991e-05,0.46,-14.82,CANDIDATE,Kepler
91.05,187.06,-136.0,37.860142,0.23,10.51421162,-0.085,-4.5,0.212,85.4,99.0,6259.0,943.0,292.62747,-0.09,5.536e-05,4.5,1.167,-5.536e-05,1.25,-39.79,CONFIRMED,Kepler
0.0,101.92,0.0,44.774345,0.0,11.344347453,0.0,-744.0,0.0,258240.0,0.0,5780.0,810.0,290.53476,0.0,8.968e-06,744.0,1.0,-8.968e-06,62.52,0.0,FALSE POSITIVE,Kepler
2.42,4.93,-141.0,48.178162,1.64,214.3120439,-0.138,-9.6,0.242,4523.4,116.0,6471.0,380.0,290.97394,-0.93,0.0001427,9.6,1.357,-0.0001427,9.17,-1.29,CONFIRMED,Kepler
3718.03,4095.0,-190.0,45.983829,11.72,0.876826336,-0.101,-144.0,0.303,138370.0,158.0,6344.0,2042.0,287.15314,-3.91,7.3e-08,144.0,0.962,-7.3e-08,37.24,-1190.4,FALSE POSITIVE,Kepler
1.9,2.34,-178.0,44.523499,8.25,208.86909724,-0.146,-60.1,0.272,21307.0,160.0,5914.0,316.0,291.4946,-4.43,6.864e-05,60.1,0.987,-6.864e-05,29.95,-0.83,FALSE POSITIVE,Kepler
167.67,206.88,-178.0,44.523499,0.43,7.2593226,-0.146,-9.5,0.272,247.5,160.0,5914.0,967.0,291.4946,-0.23,2.656e-05,9.5,0.987,-2.656e-05,1.57,-73.96,CONFIRMED,Kepler
24171.72,25932.61,-430.0,42.30669,41.35,1.98663794,-0.984,-407.0,0.805,63156.0,286.0,9191.0,3234.0,291.85333,-50.53,1.253e-05,407.0,2.619,-1.253e-05,134.5,-17588.61,FALSE POSITIVE,Kepler
52.75,66.01,-182.0,43.56955,6.63,13.54208867,-0.154,-256.0,0.231,28869.0,199.0,5496.0,727.0,297.27789,-4.43,3.16e-05,256.0,0.927,-3.16e-05,26.65,-25.89,FALSE POSITIVE,Kepler
58.4,93.96,-193.0,44.669022,6.68,7.549303633,-0.068,-70.2,0.158,10223.0,177.0,5402.0,794.0,283.95078,-2.87,3.544e-06,70.2,0.815,-3.544e-06,34.45,-25.71,FALSE POSITIVE,Kepler
2868.98,2974.07,-206.0,43.854988,11.25,0.77544539,-0.091,-41.2,0.274,6791.4,186.0,5861.0,1883.0,297.55621,-3.74,2.74e-07,41.2,0.865,-2.74e-07,35.53,-910.38,FALSE POSITIVE,Kepler
0.4,0.95,-174.0,44.21579,1.19,164.950399,-0.064,-584.0,0.07,24493.0,191.0,5001.0,252.0,294.89749,-1.08,0.002941,584.0,0.664,-0.002941,11.23,-0.27,CANDIDATE,Kepler
