pl_insolerr1,pl_insol,st_tefferr2,dec,pl_radeerr1,pl_orbper,st_raderr2,pl_trandeperr2,st_raderr1,pl_trandep,st_tefferr1,st_teff,pl_eqt,ra,pl_radeerr2,pl_orbpererr1,pl_trandeperr1,st_rad,pl_orbpererr2,pl_rade,pl_insolerr2,disposition,source
102.06,166.95,-159.0,47.946671,0.52,4.99677968,-0.069,-39.7,0.161,934.7,175.0,5339.0,917.0,297.80826,-0.23,1.389e-05,39.7,0.847,-1.389e-05,2.78,-42.14,CONFIRMED,Kepler
182.24,247.87,-169.0,49.314091,0.58,4.280963604,-0.069,-14.1,0.207,750.8,152.0,5644.0,1012.0,294.26581,-0.19,6.141e-06,14.1,0.831,-6.141e-06,2.3,-63.32,CONFIRMED,Kepler
703.1,1054.12,-172.0,49.351009,1.01,1.50635409,-0.08,-18.3,0.186,2211.7,155.0,5714.0,1452.0,295.66522,-0.44,4.7e-07,18.3,0.831,-4.7e-07,4.53,-292.26,FALSE POSITIVE,Kepler
0.15,0.35,-111.0,49.316479,2.13,670.645531,-0.049,-33.5,0.148,18091.0,100.0,5520.0,196.0,296.69861,-0.71,0.001237,33.5,0.983,-0.001237,14.14,-0.06,FALSE POSITIVE,Kepler
14.85,15.43,-220.0,49.479519,12.79,61.2563628,-0.15,-70.6,0.35,5123.3,184.0,6144.0,505.0,283.72592,-5.48,0.000156,70.6,1.091,-0.000156,39.87,-5.51,FALSE POSITIVE,Kepler
6.72,18.53,-74.0,49.480869,0.37,38.3775486,-0.124,-23.4,0.138,724.2,82.0,5481.0,529.0,291.72202,-0.34,0.0001602,23.4,1.036,-0.0001602,2.82,-4.93,CONFIRMED,Kepler
1.27,8.76,-83.0,48.37579,0.15,41.19725502,-0.072,-45.5,0.033,2213.9,75.0,5031.0,439.0,286.99948,-0.33,9.345e-05,45.5,0.848,-9.345e-05,3.86,-1.9,CONFIRMED,Kepler
15.73,108.3,-83.0,48.37579,0.1,6.252962249,-0.072,-24.5,0.033,1036.9,75.0,5031.0,823.0,286.99948,-0.23,9.577e-06,24.5,0.848,-9.577e-06,2.65,-23.44,CONFIRMED,Kepler
11.77,29.31,-149.0,48.478588,0.34,16.01308419,-0.082,-39.4,0.091,1121.9,164.0,5015.0,593.0,297.02563,-0.31,4.854e-05,39.4,0.826,-4.854e-05,3.1,-8.24,CONFIRMED,Kepler
10.51,15.55,-152.0,48.505859,0.76,32.62876672,-0.077,-25.4,0.181,1804.8,152.0,5586.0,506.0,285.71854,-0.33,5.801e-05,25.4,0.798,-5.801e-05,3.36,-4.18,CONFIRMED,Kepler
