koi_depth_err1,koi_period,koi_period_err2,koi_depth_err2,koi_teq_err1,koi_steff_err2,koi_disposition,koi_steff_err1,koi_steff,koi_prad_err2,koi_insol_err1,koi_teq_err2,koi_teq,koi_insol_err2,koi_prad_err1,koi_srad_err2,source,koi_insol,koi_prad,koi_srad_err1,koi_depth,koi_period_err1,koi_srad
39.7,4.99677968,-1.389e-05,-39.7,0.0,-159.0,CONFIRMED,175.0,5339.0,-0.23,102.06,0.0,917.0,-42.14,0.52,-0.069,Kepler,166.95,2.78,0.161,934.7,1.389e-05,0.847
14.1,4.280963604,-6.141e-06,-14.1,0.0,-169.0,CONFIRMED,152.0,5644.0,-0.19,182.24,0.0,1012.0,-63.32,0.58,-0.069,Kepler,247.87,2.3,0.207,750.8,6.141e-06,0.831
18.3,1.50635409,-4.7e-07,-18.3,0.0,-172.0,FALSE POSITIVE,155.0,5714.0,-0.44,703.1,0.0,1452.0,-292.26,1.01,-0.08,Kepler,1054.12,4.53,0.186,2211.7,4.7e-07,0.831
33.5,670.645531,-0.001237,-33.5,0.0,-111.0,FALSE POSITIVE,100.0,5520.0,-0.71,0.15,0.0,196.0,-0.06,2.13,-0.049,Kepler,0.35,14.14,0.148,18091.0,0.001237,0.983
70.6,61.2563628,-0.000156,-70.6,0.0,-220.0,FALSE POSITIVE,184.0,6144.0,-5.48,14.85,0.0,505.0,-5.51,12.79,-0.15,Kepler,15.43,39.87,0.35,5123.3,0.000156,1.091
23.4,38.3775486,-0.0001602,-23.4,0.0,-74.0,CONFIRMED,82.0,5481.0,-0.34,6.72,0.0,529.0,-4.93,0.37,-0.124,Kepler,18.53,2.82,0.138,724.2,0.0001602,1.036
45.5,41.19725502,-9.345e-05,-45.5,0.0,-83.0,CONFIRMED,75.0,5031.0,-0.33,1.27,0.0,439.0,-1.9,0.15,-0.072,Kepler,8.76,3.86,0.033,2213.9,9.345e-05,0.848
24.5,6.252962249,-9.577e-06,-24.5,0.0,-83.0,CONFIRMED,75.0,5031.0,-0.23,15.73,0.0,823.0,-23.44,0.1,-0.072,Kepler,108.3,2.65,0.033,1036.9,9.577e-06,0.848
39.4,16.01308419,-4.854e-05,-39.4,0.0,-149.0,CONFIRMED,164.0,5015.0,-0.31,11.77,0.0,593.0,-8.24,0.34,-0.082,Kepler,29.31,3.1,0.091,1121.9,4.854e-05,0.826
25.4,32.62876672,-5.801e-05,-25.4,0.0,-152.0,CONFIRMED,152.0,5586.0,-0.33,10.51,0.0,506.0,-4.18,0.76,-0.077,Kepler,15.55,3.36,0.181,1804.8,5.801e-05,0.798
36.2,91.7732862,-0.0007518,-36.2,0.0,-152.0,CONFIRMED,152.0,5586.0,-0.21,2.64,0.0,359.0,-1.06,0.48,-0.077,Kepler,3.92,2.12,0.181,652.0,0.0007518,0.798
20.0,4.959319244,-5.15e-07,-20.0,0.0,-77.0,CONFIRMED,77.0,5712.0,-1.46,146.52,0.0,1103.0,-93.21,1.96,-0.13,Kepler,349.4,12.21,0.173,9802.0,5.15e-07,1.082
20.9,2.701287801,-5.634e-06,-20.9,0.0,-182.0,FALSE POSITIVE,182.0,5550.0,-0.75,411.33,0.0,1222.0,-166.35,1.64,-0.105,Kepler,527.81,6.54,0.228,860.4,5.634e-06,0.91
17.5,4.49876511,-1.777e-05,-17.5,0.0,-210.0,CONFIRMED,189.0,6075.0,-0.22,365.71,0.0,1133.0,-117.4,0.65,-0.1,Kepler,389.62,2.1,0.3,460.0,1.777e-05,0.969
27.7,19.651209505,-5.862e-06,-27.7,0.0,-210.0,FALSE POSITIVE,168.0,6074.0,-1.69,62.46,0.0,730.0,-23.51,3.92,-0.144,Kepler,67.03,12.42,0.336,11766.0,5.862e-06,1.063
4.0,5.412203927,-3.052e-06,-4.0,0.0,-115.0,CONFIRMED,104.0,5779.0,-0.38,137.29,0.0,1093.0,-102.18,0.43,-0.142,Kepler,337.68,2.94,0.157,601.6,3.052e-06,1.087
22.6,41.43958662,-7.557e-05,-22.6,0.0,-164.0,CONFIRMED,180.0,5468.0,-0.96,14.66,0.0,516.0,-6.64,1.57,-0.183,Kepler,16.72,5.5,0.297,2793.1,7.557e-05,1.046
28.2,8.35389523,-1.524e-05,-28.2,0.0,-152.0,CONFIRMED,152.0,5592.0,-0.24,59.06,0.0,790.0,-24.15,0.54,-0.073,Kepler,91.9,2.52,0.169,1041.6,1.524e-05,0.787
13.3,4.125543472,-3.133e-06,-13.3,0.0,-239.0,CONFIRMED,173.0,6174.0,-0.51,542.47,0.0,1243.0,-188.14,1.44,-0.128,Kepler,565.35,4.43,0.358,1487.3,3.133e-06,1.103
11.0,2.816504904,-1.65e-07,-11.0,0.0,-83.0,CONFIRMED,74.0,5532.0,-0.87,184.34,0.0,1219.0,-97.95,1.62,-0.068,Kepler,521.13,12.21,0.127,16814.0,1.65e-07,0.955
44.3,33.93373447,-6.154e-05,-44.3,0.0,-151.0,FALSE POSITIVE,136.0,5040.0,-0.6,3.25,0.0,430.0,-2.06,0.9,-0.058,Kepler,8.11,7.34,0.086,8503.7,6.154e-05,0.705
13.8,3.689920099,-8.982e-06,-13.8,0.0,-192.0,CONFIRMED,157.0,5880.0,-0.2,342.24,0.0,1147.0,-123.32,0.54,-0.098,Kepler,408.99,1.89,0.262,426.7,8.982e-06,0.917
15.2,4.431238488,-6.106e-06,-15.2,0.0,-77.0,CONFIRMED,77.0,5714.0,-0.25,135.26,0.0,1104.0,-68.33,0.47,-0.079,Kepler,351.23,3.25,0.148,1010.9,6.106e-06,1.015
29.7,11.37936986,-2.415e-05,-29.7,0.0,-77.0,CONFIRMED,77.0,5714.0,-0.31,38.38,0.0,806.0,-19.39,0.57,-0.079,Kepler,99.68,3.95,0.148,1023.5,2.415e-05,1.015
36.3,26.39432897,-5.724e-05,-36.3,0.0,-154.0,CONFIRMED,154.0,5129.0,-0.22,6.07,0.0,489.0,-3.21,0.41,-0.055,Kepler,13.49,3.07,0.103,1510.9,5.724e-05,0.763
6.3,13.57078281,-1.585e-05,-6.3,0.0,-117.0,CONFIRMED,105.0,5854.0,-0.27,38.12,0.0,785.0,-22.92,0.4,-0.103,Kepler,89.61,2.64,0.154,511.7,1.585e-05,1.012
4.4,7.12594387,-1.406e-05,-4.4,0.0,-115.0,CONFIRMED,104.0,5779.0,-0.23,94.86,0.0,997.0,-70.6,0.26,-0.142,Kepler,233.31,1.79,0.157,192.4,1.406e-05,1.087
37.8,7.442652004,-7.02e-07,-37.8,0.0,-201.0,FALSE POSITIVE,183.0,6108.0,-1.58,195.52,0.0,967.0,-61.76,4.73,-0.1,Kepler,206.78,15.03,0.301,24446.0,7.02e-07,0.956
42.0,16.38489988,-5.219e-05,-42.0,0.0,-82.0,CONFIRMED,82.0,4126.0,-0.1,1.49,0.0,433.0,-1.35,0.09,-0.029,Kepler,8.35,2.0,0.027,1127.1,5.219e-05,0.615
37.7,7.8774163,-1.493e-05,-37.7,0.0,-82.0,CONFIRMED,82.0,4126.0,-0.11,3.97,0.0,553.0,-3.59,0.09,-0.029,Kepler,22.18,2.16,0.027,1306.1,1.493e-05,0.615
53.4,36.4454001,-0.0001809,-53.4,0.0,-82.0,CONFIRMED,82.0,4126.0,-0.09,0.51,0.0,332.0,-0.47,0.09,-0.029,Kepler,2.88,1.99,0.027,1122.3,0.0001809,0.615
18.5,3.728732147,-9.36e-07,-18.5,0.0,-149.0,CONFIRMED,166.0,5497.0,-0.52,162.58,0.0,1023.0,-65.21,1.22,-0.07,Kepler,258.34,6.02,0.164,5226.5,9.36e-07,0.809
230.0,40.4195037,-0.0001139,-230.0,0.0,-163.0,CANDIDATE,179.0,5446.0,-0.91,5.67,0.0,467.0,-3.57,1.12,-0.095,Kepler,11.29,7.51,0.116,6256.0,0.0001139,0.781
25.6,2.243380573,-2.67e-06,-25.6,0.0,-91.0,CONFIRMED,82.0,4149.0,-0.12,21.47,0.0,822.0,-20.32,0.1,-0.033,Kepler,107.6,1.99,0.03,821.7,2.67e-06,0.564
22.4,10.405998015,-2.515e-06,-22.4,0.0,-173.0,FALSE POSITIVE,173.0,5746.0,-1.95,90.01,0.0,833.0,-45.01,2.92,-0.16,Kepler,113.94,11.23,0.241,14489.0,2.515e-06,0.924
13.7,2.337437946,-1.951e-06,-13.7,0.0,-79.0,CONFIRMED,79.0,5005.0,-0.09,69.46,0.0,1070.0,-40.17,0.17,-0.028,Kepler,311.16,2.34,0.055,971.2,1.951e-06,0.765
44.1,7.2406612,-1.617e-05,-44.1,0.0,-79.0,CANDIDATE,79.0,5005.0,-0.71,15.32,0.0,734.0,-8.86,1.4,-0.028,Kepler,68.63,19.45,0.055,556.4,1.617e-05,0.765
3.4,3.43591631,-4.729e-05,-3.4,0.0,-115.0,CANDIDATE,104.0,5779.0,-0.07,251.11,0.0,1272.0,-186.88,0.08,-0.142,Kepler,617.61,0.55,0.157,23.2,4.729e-05,1.087
46.3,11.59822233,-1.407e-05,-46.3,0.0,-91.0,CONFIRMED,73.0,3688.0,-0.29,1.49,0.0,396.0,-1.63,0.21,-0.051,Kepler,5.82,2.65,0.037,2804.5,1.407e-05,0.473
14.9,6.575315881,-3.726e-06,-14.9,0.0,-180.0,CONFIRMED,162.0,5992.0,-0.81,209.1,0.0,1015.0,-91.63,1.5,-0.151,Kepler,251.38,5.31,0.28,2793.3,3.726e-06,0.989
11.5,7.275040844,-4.677e-06,-11.5,0.0,-180.0,CONFIRMED,164.0,5485.0,-0.37,75.31,0.0,833.0,-28.97,1.05,-0.067,Kepler,113.64,4.86,0.187,3001.0,4.677e-06,0.867
35.3,19.27153892,-4.145e-05,-35.3,0.0,-81.0,CONFIRMED,81.0,4077.0,-0.12,1.13,0.0,393.0,-1.06,0.1,-0.034,Kepler,5.66,1.93,0.03,1219.8,4.145e-05,0.56
39.2,10.06524317,-1.49e-05,-39.2,0.0,-81.0,CONFIRMED,81.0,4077.0,-0.12,2.69,0.0,488.0,-2.5,0.1,-0.034,Kepler,13.43,1.91,0.03,1053.3,1.49e-05,0.56
29.1,12.3935651,-3.932e-05,-29.1,0.0,-166.0,CONFIRMED,166.0,5557.0,-0.23,31.16,0.0,677.0,-12.97,0.54,-0.065,Kepler,49.68,2.66,0.152,916.6,3.932e-05,0.75
7.7,43.84439721,-9.613e-05,-7.7,0.0,-117.0,CONFIRMED,105.0,5854.0,-0.3,7.98,0.0,531.0,-4.8,0.43,-0.103,Kepler,18.77,2.87,0.154,615.2,9.613e-05,1.012
21.3,3.341913228,-9.953e-06,-21.3,0.0,-159.0,FALSE POSITIVE,175.0,5295.0,-1.89,145.91,0.0,1032.0,-70.67,3.54,-0.071,Kepler,268.67,21.55,0.133,725.3,9.953e-06,0.811
19.0,1.626630225,-1.015e-06,-19.0,0.0,-172.0,FALSE POSITIVE,155.0,5735.0,-4.83,1105.99,0.0,1547.0,-486.6,9.0,-0.145,Kepler,1355.88,32.43,0.27,1620.6,1.015e-06,0.973
14.5,2.711504086,-3.8e-06,-14.5,0.0,-239.0,CONFIRMED,174.0,6214.0,-0.34,931.74,0.0,1420.0,-309.76,1.02,-0.118,Kepler,960.79,3.12,0.353,837.5,3.8e-06,1.076
19.5,7.21203748,-1.553e-05,-19.5,0.0,-239.0,CONFIRMED,174.0,6214.0,-0.36,252.7,0.0,1025.0,-84.01,1.09,-0.118,Kepler,260.58,3.32,0.353,950.4,1.553e-05,1.076
51.9,14.1798187,-0.0001643,-51.9,0.0,-168.0,FALSE POSITIVE,161.0,5799.0,-0.14,67.75,0.0,711.0,-14.34,0.71,-0.065,Kepler,60.35,1.88,0.333,459.9,0.0001643,0.878
26.7,8.47237911,-1.56e-05,-26.7,0.0,-159.0,CONFIRMED,159.0,5354.0,-0.22,35.44,0.0,751.0,-19.3,0.37,-0.066,Kepler,75.44,2.59,0.113,1123.5,1.56e-05,0.788
49.6,60.4189369,-0.0005043,-49.6,0.0,-159.0,CONFIRMED,159.0,5354.0,-0.2,2.58,0.0,390.0,-1.4,0.34,-0.066,Kepler,5.49,2.36,0.113,931.3,0.0005043,0.788
27.6,12.611904345,-6.65e-06,-27.6,0.0,-173.0,CONFIRMED,156.0,5795.0,-0.73,66.33,0.0,753.0,-21.39,2.2,-0.091,Kepler,76.15,7.4,0.273,6105.6,6.65e-06,0.919
20.4,1.433769925,-7.41e-07,-20.4,0.0,-90.0,FALSE POSITIVE,72.0,6017.0,-8.0,1411.94,0.0,1920.0,-1136.62,8.01,-0.23,Kepler,3209.29,46.58,0.23,1976.3,7.41e-07,1.339
26.4,10.31872301,-2.846e-05,-26.4,0.0,-193.0,FALSE POSITIVE,176.0,5927.0,-3.69,125.69,0.0,876.0,-46.77,8.61,-0.137,Kepler,139.26,28.59,0.319,871.7,2.846e-05,1.06
11.4,2.539183147,-5.073e-06,-11.4,0.0,-74.0,CONFIRMED,82.0,5519.0,-0.28,290.34,0.0,1332.0,-212.44,0.29,-0.14,Kepler,743.09,2.06,0.154,382.1,5.073e-06,1.062
29.7,6.770300385,-9.537e-06,-29.7,0.0,-166.0,CONFIRMED,166.0,5653.0,-0.15,53.88,0.0,812.0,-21.24,0.46,-0.037,Kepler,102.87,2.77,0.112,1304.0,9.537e-06,0.679
45.9,0.444291966,-9.7e-08,-45.9,0.0,-156.0,FALSE POSITIVE,156.0,5255.0,-1.73,1149.42,0.0,1836.0,-599.58,3.46,-0.04,Kepler,2706.26,27.51,0.08,10967.0,9.7e-08,0.636
53.2,10.181584004,-6.188e-06,-53.2,0.0,-197.0,CANDIDATE,179.0,5988.0,-0.72,86.75,0.0,812.0,-28.91,2.17,-0.078,Kepler,102.91,7.73,0.234,5741.1,6.188e-06,0.836
45.1,20.06036336,-5.839e-05,-45.1,0.0,-86.0,CONFIRMED,70.0,3950.0,-0.16,0.89,0.0,361.0,-0.9,0.13,-0.04,Kepler,4.0,1.96,0.033,1494.7,5.839e-05,0.493
56.4,46.1842039,-0.0002654,-56.4,0.0,-86.0,CONFIRMED,70.0,3950.0,-0.15,0.29,0.0,273.0,-0.3,0.12,-0.04,Kepler,1.32,1.83,0.033,1394.7,0.0002654,0.493
6.5,23.9800854,-0.0002003,-6.5,0.0,-117.0,CONFIRMED,105.0,5854.0,-0.13,17.84,0.0,649.0,-10.73,0.2,-0.103,Kepler,41.94,1.31,0.154,104.0,0.0002003,1.012
36.4,7.82502168,-3.89e-05,-36.4,0.0,-86.0,CONFIRMED,70.0,3950.0,-0.1,3.1,0.0,494.0,-3.19,0.08,-0.04,Kepler,14.05,1.2,0.033,520.8,3.89e-05,0.493
29.5,3.895936525,-7.71e-07,-29.5,0.0,-167.0,CONFIRMED,167.0,5557.0,-0.65,155.31,0.0,1005.0,-64.19,1.53,-0.069,Kepler,241.62,7.34,0.161,8544.8,7.71e-07,0.774
35.1,22.36646466,-9.761e-05,-35.1,0.0,-160.0,CONFIRMED,160.0,5395.0,-0.16,10.29,0.0,536.0,-4.56,0.38,-0.052,Kepler,19.45,2.32,0.122,986.8,9.761e-05,0.734
11.8,1.625522174,-1.58e-07,-11.8,0.0,-74.0,CONFIRMED,83.0,5539.0,-1.42,576.36,0.0,1579.0,-452.24,1.41,-0.161,Kepler,1467.41,9.73,0.161,7969.0,1.58e-07,1.106
85.0,19.620346923,-3.73e-06,-85.0,0.0,-85.0,CANDIDATE,76.0,5710.0,-0.92,14.34,0.0,643.0,-7.31,1.82,-0.061,Kepler,40.39,13.6,0.121,21725.0,3.73e-06,0.905
