koi_depth_err1,koi_period,koi_period_err2,koi_depth_err2,koi_teq_err1,koi_steff_err2,koi_disposition,koi_steff_err1,koi_steff,koi_prad_err2,koi_insol_err1,koi_teq_err2,koi_teq,koi_insol_err2,koi_prad_err1,koi_srad_err2,source,koi_insol,koi_prad,koi_srad_err1,koi_depth,koi_period_err1,koi_srad
19.5,16.7261969,-0.0001475,-19.5,0.0,-75.0,CONFIRMED,75.0,5588.0,-0.21,26.24,0.0,729.0,-19.31,0.24,-0.147,Kepler,66.83,1.56,0.164,194.9,0.0001475,1.1
10.4,21.58752788,-7.498e-05,-10.4,0.0,-121.0,CONFIRMED,121.0,6038.0,-0.34,33.29,0.0,747.0,-25.5,0.35,-0.189,Kepler,73.42,2.18,0.189,336.8,7.498e-05,1.191
16.7,3.757294695,-6.729e-06,-16.7,0.0,-78.0,CONFIRMED,78.0,4901.0,-0.03,32.45,0.0,877.0,-16.28,0.1,-0.021,Kepler,139.89,1.23,0.054,273.3,6.729e-06,0.716
6.3,3.2828024,-1.281e-05,-6.3,0.0,-77.0,CONFIRMED,85.0,5640.0,-0.42,457.24,0.0,1467.0,-484.58,0.28,-0.353,Kepler,1093.39,1.79,0.236,142.5,1.281e-05,1.515
8.6,4.64495172,-2.568e-05,-8.6,0.0,-180.0,CONFIRMED,180.0,6047.0,-0.22,453.09,0.0,1209.0,-189.86,0.41,-0.182,Kepler,504.23,1.38,0.338,147.4,2.568e-05,1.129
11.0,16.6671415,-0.0001253,-11.0,0.0,-143.0,CANDIDATE,143.0,4729.0,-0.04,2.87,0.0,469.0,-2.52,0.04,-0.032,Kepler,11.47,0.7,0.028,175.0,0.0001253,0.525
58.0,16.48686712,-3.61e-05,-58.0,0.0,-232.0,CONFIRMED,169.0,6090.0,-3.2,63.75,0.0,760.0,-26.23,7.49,-0.125,Kepler,78.99,27.45,0.292,987.9,3.61e-05,1.071
11.0,2.685054445,-4.508e-06,-11.0,0.0,-142.0,CONFIRMED,158.0,5266.0,-0.18,225.07,0.0,1137.0,-121.21,0.26,-0.1,Kepler,395.08,1.46,0.15,252.7,4.508e-06,0.829
14.0,16.8600805,-0.00013,-14.0,0.0,-219.0,CONFIRMED,197.0,6205.0,-0.24,68.23,0.0,765.0,-28.8,0.47,-0.134,Kepler,80.9,1.71,0.268,273.4,0.00013,0.973
3.0,1.54320541,-3.838e-06,-3.0,0.0,-117.0,CONFIRMED,105.0,5866.0,-0.25,1181.88,0.0,1827.0,-1069.59,0.19,-0.253,Kepler,2636.85,1.23,0.207,91.2,3.838e-06,1.282
35.6,49.5004725,-0.0003399,-35.6,0.0,-79.0,CONFIRMED,79.0,4954.0,-0.19,0.93,0.0,402.0,-1.26,0.1,-0.065,Kepler,6.2,2.49,0.032,965.2,0.0003399,0.828
20.8,6.47539108,-2.105e-05,-20.8,0.0,-79.0,CONFIRMED,79.0,4954.0,-0.15,13.94,0.0,793.0,-19.03,0.07,-0.065,Kepler,93.41,1.92,0.032,530.6,2.105e-05,0.828
37.9,16.85825609,-6.042e-05,-37.9,0.0,-79.0,CONFIRMED,79.0,4954.0,-0.2,3.89,0.0,576.0,-5.3,0.1,-0.065,Kepler,26.05,2.51,0.032,759.6,6.042e-05,0.828
52.0,3.132604547,-1.481e-06,-52.0,0.0,-205.0,FALSE POSITIVE,168.0,6248.0,-7.14,1031.76,0.0,1444.0,-372.96,16.67,-0.173,Kepler,1028.81,48.73,0.404,9969.2,1.481e-06,1.181
14.1,2.949029106,-7.72e-06,-14.1,0.0,-135.0,CONFIRMED,150.0,4983.0,-0.15,82.24,0.0,1027.0,-74.65,0.12,-0.085,Kepler,263.92,1.48,0.064,358.3,7.72e-06,0.807
16.2,37.8658964,-0.0002184,-16.2,0.0,-86.0,CONFIRMED,78.0,5757.0,-0.16,8.58,0.0,543.0,-4.13,0.31,-0.08,Kepler,20.61,2.01,0.161,395.2,0.0002184,1.017
12.7,8.30865307,-1.027e-05,-12.7,0.0,-80.0,CONFIRMED,80.0,5022.0,-0.19,12.36,0.0,747.0,-14.88,0.11,-0.066,Kepler,73.53,2.42,0.04,836.1,1.027e-05,0.849
5.8,11.93205399,-4.833e-05,-5.8,0.0,-113.0,CONFIRMED,101.0,5711.0,-0.34,72.83,0.0,905.0,-61.31,0.31,-0.258,Kepler,158.22,1.83,0.232,178.5,4.833e-05,1.391
5.4,7.54235832,-3.786e-05,-5.4,0.0,-113.0,CONFIRMED,101.0,5711.0,-0.29,134.49,0.0,1054.0,-113.23,0.27,-0.258,Kepler,292.19,1.59,0.232,132.5,3.786e-05,1.391
7.3,5.02818253,-2.049e-05,-7.3,0.0,-77.0,CONFIRMED,85.0,5640.0,-0.47,259.28,0.0,1272.0,-274.78,0.32,-0.353,Kepler,620.0,2.03,0.236,181.3,2.049e-05,1.515
5.4,1.897828815,-6.301e-06,-5.4,0.0,-77.0,CONFIRMED,85.0,5640.0,-0.4,953.03,0.0,1761.0,-1010.01,0.27,-0.353,Kepler,2278.95,1.73,0.236,132.4,6.301e-06,1.515
16.9,10.62788695,-8.221e-05,-16.9,0.0,-210.0,CONFIRMED,189.0,6082.0,-0.21,131.16,0.0,872.0,-43.22,0.6,-0.115,Kepler,136.34,1.87,0.322,326.7,8.221e-05,1.014
103.0,34.135676,-0.002154,-103.0,0.0,-325.0,CANDIDATE,216.0,7818.0,-8.8,1281.02,0.0,1526.0,-1133.26,4.73,-3.496,Kepler,1281.86,13.98,1.883,622.0,0.002154,5.555
17.0,1.104462494,-1.552e-06,-17.0,0.0,-136.0,CONFIRMED,151.0,5002.0,-0.16,295.86,0.0,1397.0,-253.88,0.14,-0.079,Kepler,898.79,1.6,0.065,469.1,1.552e-06,0.753
9.8,4.89336495,-3.609e-05,-9.8,0.0,-281.0,CONFIRMED,187.0,6688.0,-0.2,874.9,0.0,1374.0,-299.78,0.57,-0.169,Kepler,842.45,1.6,0.473,138.3,3.609e-05,1.347
18.3,11.17392077,-6.126e-05,-18.3,0.0,-195.0,CONFIRMED,160.0,5911.0,-0.16,81.36,0.0,796.0,-27.27,0.48,-0.089,Kepler,94.84,1.64,0.267,324.8,6.126e-05,0.914
49.6,31.0325991,-0.0002042,-49.6,0.0,-223.0,CONFIRMED,182.0,5841.0,-0.25,19.68,0.0,561.0,-6.91,0.72,-0.086,Kepler,23.41,2.64,0.257,737.4,0.0002042,0.931
8.8,0.512407185,-5.22e-07,-8.8,0.0,-84.0,FALSE POSITIVE,77.0,3862.0,-0.08,107.61,0.0,1255.0,-122.35,0.04,-0.04,Kepler,583.45,1.03,0.026,329.2,5.22e-07,0.563
30.6,4.150297119,-7.674e-06,-30.6,0.0,-73.0,FALSE POSITIVE,84.0,5290.0,-0.16,54.89,0.0,981.0,-33.37,0.26,-0.046,Kepler,218.44,3.03,0.072,593.4,7.674e-06,0.858
10.4,5.89661966,-4.591e-05,-10.4,0.0,-72.0,CONFIRMED,80.0,5392.0,-0.22,128.71,0.0,1000.0,-82.04,0.26,-0.184,Kepler,237.1,1.28,0.224,144.0,4.591e-05,1.087
45.8,33.4178173,-0.0001735,-45.8,0.0,-138.0,CONFIRMED,153.0,5136.0,-0.24,4.14,0.0,448.0,-2.29,0.41,-0.059,Kepler,9.56,3.13,0.096,1166.8,0.0001735,0.744
3.2,2.053341891,-7.397e-06,-3.2,0.0,-136.0,CONFIRMED,136.0,6084.0,-0.25,1100.4,0.0,1737.0,-817.97,0.25,-0.239,Kepler,2154.14,1.44,0.239,65.5,7.397e-06,1.358
28.4,56.7769831,-0.0003333,-28.4,0.0,-181.0,CONFIRMED,181.0,6063.0,-0.34,10.38,0.0,491.0,-4.03,0.8,-0.108,Kepler,13.74,3.21,0.252,884.3,0.0003333,1.012
48.3,18.78429232,-7.633e-05,-48.3,0.0,-84.0,CONFIRMED,84.0,4243.0,-0.1,1.4,0.0,433.0,-1.33,0.08,-0.03,Kepler,8.3,2.14,0.025,1009.5,7.633e-05,0.641
4.9,3.61460279,-2.833e-05,-4.9,0.0,-113.0,CONFIRMED,101.0,5711.0,-0.21,357.5,0.0,1347.0,-300.99,0.19,-0.258,Kepler,776.7,1.14,0.232,64.8,2.833e-05,1.391
4.4,13.15140223,-7.976e-05,-4.4,0.0,-124.0,CONFIRMED,111.0,6154.0,-0.39,125.97,0.0,1008.0,-102.57,0.35,-0.339,Kepler,243.84,1.87,0.308,97.8,7.976e-05,1.636
28.7,18.5084526,-0.0001311,-28.7,0.0,-193.0,CONFIRMED,176.0,5942.0,-2.94,46.25,0.0,683.0,-14.91,8.82,-0.094,Kepler,51.32,29.33,0.282,758.9,0.0001311,0.938
4.7,7.47763833,-2.891e-05,-4.7,0.0,-149.0,FALSE POSITIVE,164.0,5957.0,-0.66,502.56,0.0,1346.0,-455.02,0.45,-0.631,Kepler,776.56,2.05,0.421,110.0,2.891e-05,1.953
21.7,42.1918331,-0.0003561,-21.7,0.0,-74.0,CONFIRMED,74.0,5520.0,-0.33,6.66,0.0,526.0,-5.37,0.32,-0.15,Kepler,18.08,2.35,0.15,488.7,0.0003561,1.08
9.2,3.73090026,-1.5e-05,-9.2,0.0,-85.0,CONFIRMED,77.0,5709.0,-0.07,151.11,0.0,1128.0,-57.19,0.22,-0.047,Kepler,383.51,1.48,0.142,191.2,1.5e-05,0.95
74.0,86.130534,-0.008076,-74.0,0.0,-166.0,CANDIDATE,155.0,5830.0,-0.11,7.16,0.0,391.0,-1.34,0.64,-0.068,Kepler,5.55,1.47,0.382,285.2,0.008076,0.876
10.7,2.787874175,-9.773e-06,-10.7,0.0,-129.0,CONFIRMED,144.0,4827.0,-1.33,1970.38,0.0,1432.0,-829.45,1.47,-0.987,Kepler,993.06,2.33,1.086,197.4,9.773e-06,1.727
11.0,37.9962369,-0.0001515,-11.0,0.0,-121.0,CONFIRMED,121.0,6038.0,-0.38,15.66,0.0,618.0,-12.0,0.38,-0.189,Kepler,34.55,2.39,0.189,403.7,0.0001515,1.191
37.2,8.46354384,-2.198e-05,-37.2,0.0,-168.0,CANDIDATE,187.0,5427.0,-0.29,72.47,0.0,805.0,-30.74,0.57,-0.102,Kepler,99.37,2.51,0.203,792.2,2.198e-05,0.887
8.6,17.23232894,-3.566e-05,-8.6,0.0,-133.0,CONFIRMED,133.0,6086.0,-0.41,50.25,0.0,817.0,-35.25,0.45,-0.179,Kepler,105.47,2.79,0.199,509.8,3.566e-05,1.216
40.5,28.5057217,-0.0002837,-40.5,0.0,-169.0,CONFIRMED,169.0,5712.0,-0.26,20.02,0.0,555.0,-6.28,0.75,-0.086,Kepler,22.43,2.55,0.259,755.8,0.0002837,0.87
25.3,53.5991459,-0.0004142,-25.3,0.0,-206.0,CONFIRMED,169.0,6319.0,-0.26,16.82,0.0,529.0,-5.49,0.78,-0.107,Kepler,18.54,2.49,0.32,523.1,0.0004142,1.032
23.4,16.4581861,-5.977e-05,-23.4,0.0,-82.0,CONFIRMED,73.0,5475.0,-0.09,13.74,0.0,644.0,-5.93,0.23,-0.042,Kepler,40.61,1.82,0.112,435.8,5.977e-05,0.884
13.5,176.331289,-0.007995,-13.5,0.0,-127.0,CANDIDATE,128.0,6146.0,-0.65,7.99,0.0,505.0,-7.92,0.43,-0.615,Kepler,15.4,2.38,0.411,109.8,0.007995,2.251
2.1,0.693842661,-1.62e-06,-2.1,0.0,-73.0,CONFIRMED,81.0,5457.0,-0.19,2864.21,0.0,2161.0,-2295.8,0.17,-0.279,Kepler,5182.78,0.83,0.251,49.3,1.62e-06,1.196
40.5,83.4887405,-0.0005889,-40.5,0.0,-193.0,CONFIRMED,176.0,5910.0,-0.31,6.4,0.0,411.0,-2.03,0.93,-0.099,Kepler,6.76,2.95,0.297,955.4,0.0005889,0.94
44.5,34.0607677,-0.0001372,-44.5,0.0,-193.0,CONFIRMED,176.0,5910.0,-0.31,21.15,0.0,554.0,-6.68,0.94,-0.099,Kepler,22.32,2.96,0.297,818.9,0.0001372,0.94
3.9,6.2141496,-3.047e-05,-3.9,0.0,-184.0,CANDIDATE,184.0,5295.0,-2.95,1125.91,0.0,1506.0,-1115.23,1.26,-2.176,Kepler,1216.48,4.27,0.933,183.4,3.047e-05,3.152
15.6,31.5888979,-0.0001211,-15.6,0.0,-117.0,CONFIRMED,105.0,5866.0,-0.49,21.79,0.0,682.0,-19.93,0.4,-0.256,Kepler,51.02,2.59,0.209,360.6,0.0001211,1.367
11.7,59.9809868,-0.0004696,-11.7,0.0,-134.0,CONFIRMED,122.0,6103.0,-0.52,12.61,0.0,568.0,-9.54,0.51,-0.252,Kepler,24.58,2.81,0.252,282.4,0.0004696,1.383
7.9,25.7457957,-0.0003212,-7.9,0.0,-134.0,CONFIRMED,122.0,6103.0,-0.32,38.96,0.0,753.0,-29.48,0.31,-0.252,Kepler,75.97,1.73,0.252,140.3,0.0003212,1.383
28.1,11.92979348,-6.659e-05,-28.1,0.0,-192.0,CONFIRMED,157.0,5831.0,-0.24,67.79,0.0,770.0,-24.19,0.68,-0.092,Kepler,83.04,2.43,0.256,709.3,6.659e-05,0.921
23.1,17.65737838,-1.528e-05,-23.1,0.0,-59.0,CANDIDATE,51.0,3745.0,-0.26,1.03,0.0,350.0,-0.89,0.27,-0.05,Kepler,3.55,2.45,0.05,2155.7,1.528e-05,0.47
12.3,4.3394569,-1.07e-05,-12.3,0.0,-79.0,CONFIRMED,79.0,5330.0,-0.29,111.52,0.0,1061.0,-89.65,0.29,-0.139,Kepler,300.07,2.11,0.139,337.4,1.07e-05,1.013
59.1,2.852348262,-2.926e-06,-59.1,0.0,-81.0,CONFIRMED,74.0,3731.0,-0.2,11.51,0.0,621.0,-10.16,0.18,-0.052,Kepler,34.95,1.66,0.047,1402.9,2.926e-06,0.433
30.9,65.6480892,-0.0005494,-30.9,0.0,-83.0,CONFIRMED,75.0,5565.0,-0.69,4.95,0.0,485.0,-4.7,0.57,-0.219,Kepler,13.04,3.93,0.179,588.7,0.0005494,1.246
15.6,102.653705,-0.002773,-15.6,0.0,-260.0,FALSE POSITIVE,189.0,6711.0,-11.19,20.05,0.0,562.0,-13.35,11.18,-0.485,Kepler,23.66,39.16,0.485,687.3,0.002773,1.698
47.6,14.83340944,-8.043e-05,-47.6,0.0,-83.0,CONFIRMED,74.0,5570.0,-0.18,17.87,0.0,694.0,-10.23,0.31,-0.064,Kepler,54.74,2.54,0.11,783.0,8.043e-05,0.904
1.2,0.987338654,-4.243e-06,-1.2,0.0,-173.0,FALSE POSITIVE,173.0,6258.0,-0.31,7643.01,0.0,2669.0,-6995.87,0.21,-0.603,Kepler,11973.87,0.98,0.402,26.5,4.243e-06,1.896
61.9,101.1323475,-0.0005876,-61.9,0.0,-74.0,CONFIRMED,82.0,5492.0,-0.41,1.73,0.0,380.0,-1.19,0.5,-0.108,Kepler,4.91,3.87,0.131,1502.9,0.0005876,1.016
9.4,1.811460943,-3.797e-06,-9.4,0.0,-152.0,FALSE POSITIVE,152.0,5700.0,-0.51,1038.17,0.0,1508.0,-481.1,0.82,-0.179,Kepler,1224.37,2.83,0.292,428.5,3.797e-06,1.008
29.6,16.07673148,-6.456e-05,-29.6,0.0,-195.0,CONFIRMED,177.0,5957.0,-0.22,59.79,0.0,724.0,-19.14,0.66,-0.1,Kepler,64.75,2.14,0.299,488.0,6.456e-05,0.971
23.6,18.87058705,-6.734e-05,-23.6,0.0,-200.0,CONFIRMED,181.0,6103.0,-0.28,54.48,0.0,701.0,-17.16,0.85,-0.101,Kepler,56.97,2.67,0.303,588.0,6.734e-05,0.949
48.0,22.1334224,-0.0001092,-48.0,0.0,-138.0,CONFIRMED,153.0,5165.0,-0.13,7.08,0.0,507.0,-3.61,0.24,-0.052,Kepler,15.65,1.76,0.096,654.6,0.0001092,0.702
16.2,17.1369408,-0.0001314,-16.2,0.0,-216.0,CONFIRMED,172.0,6218.0,-0.24,83.45,0.0,775.0,-27.76,0.69,-0.128,Kepler,85.15,2.05,0.358,362.1,0.0001314,1.077
10.6,26.6951944,-0.0002607,-10.6,0.0,-133.0,CONFIRMED,133.0,6086.0,-0.2,28.02,0.0,706.0,-19.66,0.23,-0.179,Kepler,58.81,1.4,0.199,132.6,0.0002607,1.216
12.7,7.72085047,-2.08e-05,-12.7,0.0,-129.0,CONFIRMED,105.0,5887.0,-0.4,112.96,0.0,1021.0,-90.31,0.4,-0.186,Kepler,257.14,2.53,0.186,267.0,2.08e-05,1.177
12.9,6.312508525,-5.263e-06,-12.9,0.0,-335.0,CONFIRMED,447.0,4090.0,-0.33,24.5,0.0,575.0,-13.02,0.26,-0.093,Kepler,25.94,2.0,0.076,1286.0,5.263e-06,0.571
45.0,4.19577385,-1.568e-05,-45.0,0.0,-183.0,CONFIRMED,183.0,5229.0,-0.53,289.09,0.0,1047.0,-116.74,0.98,-0.177,Kepler,283.78,3.02,0.328,874.2,1.568e-05,1.005
5.9,7.1329472,-3.635e-05,-5.9,0.0,-117.0,CONFIRMED,105.0,5862.0,-0.32,155.19,0.0,1102.0,-140.9,0.26,-0.256,Kepler,349.21,1.64,0.209,145.0,3.635e-05,1.307
6.7,8.91901228,-5.078e-05,-6.7,0.0,-117.0,CONFIRMED,105.0,5862.0,-0.36,115.07,0.0,1023.0,-104.47,0.29,-0.256,Kepler,258.92,1.84,0.209,180.6,5.078e-05,1.307
4.0,4.5620407,-1.624e-05,-4.0,0.0,-74.0,CONFIRMED,85.0,5343.0,-0.98,653.71,0.0,1533.0,-780.17,0.53,-0.87,Kepler,1306.97,2.82,0.468,81.6,1.624e-05,2.506
5.7,7.5966998,-3.322e-05,-5.7,0.0,-114.0,CANDIDATE,103.0,5716.0,-0.17,85.61,0.0,964.0,-63.2,0.2,-0.147,Kepler,204.34,1.32,0.163,127.5,3.322e-05,1.091
5.8,2.392630668,-6.41e-06,-5.8,0.0,-114.0,FALSE POSITIVE,103.0,5716.0,-0.18,400.27,0.0,1418.0,-295.5,0.2,-0.147,Kepler,955.41,1.33,0.163,101.5,6.41e-06,1.091
15.0,17.6700291,-0.0001226,-15.0,0.0,-78.0,CONFIRMED,78.0,5795.0,-0.48,37.85,0.0,778.0,-29.68,0.49,-0.209,Kepler,86.37,2.89,0.209,348.4,0.0001226,1.247
15.4,108.593113,-0.00113,-15.4,0.0,-102.0,CONFIRMED,113.0,5678.0,-0.21,1.71,0.0,374.0,-1.34,0.21,-0.115,Kepler,4.64,1.68,0.115,338.2,0.00113,0.921
35.2,19.9865916,-0.0001286,-35.2,0.0,-71.0,CONFIRMED,82.0,5500.0,-0.84,27.73,0.0,720.0,-24.94,0.69,-0.247,Kepler,63.67,4.22,0.202,648.0,0.0001286,1.238
25.3,12.12580644,-7.963e-05,-25.3,0.0,-71.0,CONFIRMED,82.0,5500.0,-0.5,53.9,0.0,851.0,-48.48,0.41,-0.247,Kepler,123.78,2.5,0.202,327.5,7.963e-05,1.238
28.9,76.421501,-0.001323,-28.9,0.0,-75.0,CONFIRMED,83.0,5561.0,-0.51,4.05,0.0,455.0,-3.69,0.42,-0.216,Kepler,10.11,2.81,0.177,578.4,0.001323,1.19
12.0,56.2590881,-0.00028,-12.0,0.0,-121.0,CONFIRMED,121.0,6038.0,-0.35,9.28,0.0,543.0,-7.12,0.36,-0.189,Kepler,20.49,2.22,0.189,348.8,0.00028,1.191
14.0,1.646801683,-3.512e-06,-14.0,0.0,-84.0,CONFIRMED,76.0,3810.0,-0.06,24.8,0.0,806.0,-21.54,0.07,-0.038,Kepler,99.8,0.86,0.038,284.2,3.512e-06,0.513
9.7,3.78861833,-2.285e-05,-9.7,0.0,-75.0,CONFIRMED,75.0,5560.0,-0.14,160.77,0.0,1158.0,-111.15,0.18,-0.122,Kepler,424.17,1.23,0.149,143.4,2.285e-05,1.04
19.3,10.45839865,-5.78e-05,-19.3,0.0,-83.0,CONFIRMED,74.0,4641.0,-0.06,3.99,0.0,609.0,-5.41,0.04,-0.04,Kepler,32.45,1.25,0.02,306.8,5.78e-05,0.747
10.9,21.1033014,-7.289e-05,-10.9,0.0,-133.0,CONFIRMED,108.0,6000.0,-0.14,30.11,0.0,718.0,-15.64,0.27,-0.105,Kepler,62.99,1.56,0.195,192.5,7.289e-05,1.126
24.0,95.6114617,-0.000863,-24.0,0.0,-89.0,CONFIRMED,71.0,6002.0,-0.13,3.03,0.0,421.0,-1.2,0.38,-0.061,Kepler,7.45,2.37,0.171,487.4,0.000863,1.081
32.9,1.204686597,-4.445e-06,-32.9,0.0,0.0,CANDIDATE,0.0,5780.0,0.0,0.0,0.0,1711.0,0.0,0.0,0.0,Kepler,2026.81,1.55,0.0,233.2,4.445e-06,1.0
12.2,11.8984948,-0.0001417,-12.2,0.0,-117.0,CONFIRMED,105.0,5862.0,-0.33,78.34,0.0,929.0,-71.12,0.27,-0.256,Kepler,176.27,1.69,0.209,130.9,0.0001417,1.307
8.6,23.1274171,-0.0001567,-8.6,0.0,-117.0,CONFIRMED,105.0,5865.0,-0.13,20.35,0.0,667.0,-11.15,0.23,-0.097,Kepler,46.89,1.44,0.166,157.3,0.0001567,1.066
31.0,5.132486123,-9.634e-06,-31.0,0.0,-77.0,CONFIRMED,77.0,3879.0,-0.08,5.61,0.0,584.0,-4.42,0.09,-0.027,Kepler,27.41,1.69,0.032,908.4,9.634e-06,0.578
26.6,8.77997349,-3.19e-05,-26.6,0.0,-155.0,CONFIRMED,155.0,5191.0,-0.16,28.71,0.0,713.0,-14.92,0.3,-0.058,Kepler,61.24,2.12,0.109,755.7,3.19e-05,0.764
57.2,57.6896212,-0.0003545,-57.2,0.0,-261.0,CONFIRMED,196.0,6228.0,-0.66,14.71,0.0,512.0,-5.81,1.54,-0.134,Kepler,16.19,5.14,0.313,1626.6,0.0003545,1.049
13.1,10.66489514,-4.548e-05,-13.1,0.0,-211.0,CONFIRMED,190.0,6014.0,-0.23,131.05,0.0,865.0,-45.49,0.57,-0.133,Kepler,132.15,1.76,0.333,292.6,4.548e-05,1.021
13.3,5.1233204,-2.06e-05,-13.3,0.0,-75.0,CONFIRMED,85.0,5364.0,-0.2,70.45,0.0,994.0,-61.22,0.17,-0.116,Kepler,231.12,1.65,0.105,286.2,2.06e-05,0.982
9.7,3.573202801,-9e-07,-9.7,0.0,-220.0,CONFIRMED,200.0,5646.0,-0.94,442.5,0.0,1210.0,-203.01,1.6,-0.174,Kepler,507.91,5.81,0.298,2975.0,9e-07,1.08
80.5,61.6174528,-0.0003573,-80.5,0.0,-82.0,CONFIRMED,73.0,5480.0,-0.2,2.54,0.0,424.0,-1.25,0.41,-0.053,Kepler,7.67,3.36,0.115,1350.7,0.0003573,0.931
30.0,24.3398202,-0.0001434,-30.0,0.0,-75.0,CONFIRMED,84.0,5596.0,-1.13,30.99,0.0,737.0,-29.81,0.85,-0.326,Kepler,69.79,5.09,0.244,777.3,0.0001434,1.466
29.0,7.16520428,-2.673e-05,-29.0,0.0,-260.0,CONFIRMED,173.0,6174.0,-0.27,259.4,0.0,1034.0,-92.5,0.74,-0.128,Kepler,270.34,2.31,0.358,433.8,2.673e-05,1.103
18.0,1.755843555,-4.915e-06,-18.0,0.0,-166.0,CONFIRMED,149.0,5569.0,-0.17,518.61,0.0,1343.0,-205.91,0.44,-0.075,Kepler,771.02,1.94,0.188,386.0,4.915e-06,0.829
10.0,5.18560081,-2.084e-05,-10.0,0.0,-86.0,CONFIRMED,74.0,6172.0,-0.4,368.41,0.0,1314.0,-243.79,0.47,-0.247,Kepler,705.79,2.34,0.301,252.6,2.084e-05,1.471
17.9,33.4698571,-0.0002208,-17.9,0.0,-178.0,CONFIRMED,160.0,5912.0,-0.41,27.41,0.0,609.0,-12.57,0.7,-0.183,Kepler,32.52,2.45,0.314,370.7,0.0002208,1.094
9.7,11.89520436,-5.391e-05,-9.7,0.0,-112.0,CONFIRMED,112.0,5649.0,-0.13,38.22,0.0,787.0,-22.57,0.2,-0.097,Kepler,90.77,1.33,0.145,184.3,5.391e-05,0.992
10.2,1.025857984,-1.051e-06,-10.2,0.0,-82.0,CONFIRMED,82.0,5123.0,-0.1,226.59,0.0,1520.0,-228.03,0.08,-0.055,Kepler,1264.7,1.57,0.044,270.7,1.051e-06,0.847
16.0,5.60013327,-2.032e-05,-16.0,0.0,-79.0,CONFIRMED,79.0,5288.0,-0.22,62.25,0.0,952.0,-54.8,0.2,-0.124,Kepler,194.26,1.73,0.113,329.2,2.032e-05,0.978
35.7,25.2034128,-0.0001369,-35.7,0.0,-175.0,CONFIRMED,157.0,5831.0,-0.24,24.99,0.0,600.0,-8.66,0.67,-0.092,Kepler,30.62,2.42,0.256,697.1,0.0001369,0.921
20.7,1.615357809,-2.324e-06,-20.7,0.0,-84.0,CONFIRMED,76.0,3821.0,-0.13,23.7,0.0,806.0,-25.18,0.09,-0.047,Kepler,99.32,1.37,0.034,499.6,2.324e-06,0.486
11.4,5.640676975,-3.725e-06,-11.4,0.0,-78.0,CONFIRMED,78.0,5794.0,-0.69,164.09,0.0,1125.0,-120.04,0.76,-0.183,Kepler,379.36,4.59,0.201,1453.3,3.725e-06,1.216
39.1,25.5638626,-0.0001273,-39.1,0.0,-261.0,CONFIRMED,196.0,6228.0,-0.51,43.54,0.0,671.0,-17.2,1.19,-0.134,Kepler,47.94,4.0,0.313,1124.9,0.0001273,1.049
14.9,6.78341325,-2.387e-05,-14.9,0.0,-46.0,CANDIDATE,77.0,5096.0,-2.62,11495.77,0.0,2628.0,-2976.92,7.85,-1.106,Kepler,11295.61,20.75,3.319,501.2,2.387e-05,8.769
16.4,12.7945474,-2.615e-05,-16.4,0.0,-335.0,CONFIRMED,447.0,4090.0,-0.26,9.54,0.0,455.0,-5.07,0.21,-0.093,Kepler,10.1,1.6,0.076,816.7,2.615e-05,0.571
37.7,42.4269647,-0.0003313,-37.7,0.0,-79.0,CONFIRMED,79.0,5330.0,-0.45,6.12,0.0,496.0,-4.14,0.55,-0.133,Kepler,14.33,3.44,0.162,632.4,0.0003313,1.013
8.3,1.434745129,-3.371e-06,-8.3,0.0,-87.0,CONFIRMED,69.0,5806.0,-0.13,731.22,0.0,1664.0,-382.77,0.23,-0.09,Kepler,1813.0,1.5,0.167,200.7,3.371e-06,1.064
85.4,6.95787,-0.0003496,-85.4,0.0,-229.0,CANDIDATE,192.0,6240.0,-0.17,339.61,0.0,1047.0,-95.6,0.55,-0.125,Kepler,284.4,1.39,0.404,182.3,0.0003496,1.025
8.9,3.28192056,-1.276e-05,-8.9,0.0,-79.0,CONFIRMED,79.0,5859.0,-0.2,312.16,0.0,1326.0,-197.99,0.26,-0.143,Kepler,728.9,1.6,0.19,191.0,1.276e-05,1.162
12.4,12.51610549,-8.369e-05,-12.4,0.0,-79.0,CONFIRMED,79.0,5859.0,-0.23,52.48,0.0,848.0,-33.29,0.3,-0.143,Kepler,122.54,1.87,0.19,263.0,8.369e-05,1.162
4.4,5.45298742,-1.82e-05,-4.4,0.0,-108.0,CONFIRMED,108.0,5450.0,-0.03,52.78,0.0,904.0,-23.38,0.1,-0.033,Kepler,158.12,0.92,0.093,86.0,1.82e-05,0.842
3.6,3.26662733,-1.395e-05,-3.6,0.0,-108.0,CONFIRMED,108.0,5450.0,-0.03,104.43,0.0,1072.0,-46.26,0.08,-0.033,Kepler,312.85,0.68,0.093,59.9,1.395e-05,0.842
9.7,4.45743267,-1.71e-05,-9.7,0.0,-134.0,CONFIRMED,134.0,4487.0,-0.07,21.95,0.0,732.0,-17.49,0.06,-0.052,Kepler,67.7,0.79,0.052,175.7,1.71e-05,0.612
19.0,2.81814715,-1.09e-05,-19.0,0.0,-103.0,CONFIRMED,103.0,5167.0,-0.07,69.43,0.0,1059.0,-52.32,0.09,-0.043,Kepler,298.2,1.3,0.053,278.6,1.09e-05,0.787
